[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.66
[File, File, Image] ExifByteOrder - Exif Byte Order: II
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 4
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[MakerNotes, Canon, Camera] 11 - Easy Mode: 1
[MakerNotes, Canon, Image] 6 - Exposure Compensation: 0
[MakerNotes, Canon, Image] 22 - Exposure Time: 128
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 160
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 120
[EXIF, ExifIFD, Camera] 41986 - Exposure Mode: 1
[File, File, Image] EncodingProcess - Encoding Process: 0
[EXIF, ExifIFD, Camera] 41986 - Exposure Mode: Manual
