[ExifTool, ExifTool, ExifTool, Main] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other, Main] FileName - File Name: MRC.mrc
[File, System, Other, Main] Directory - Directory: t/images
[File, System, Other, Main] FileSize - File Size: 2.6 kB
[File, System, Time, Main] FileModifyDate - File Modification Date/Time: 2021:04:22 09:31:39-04:00
[File, System, Time, Main] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:43-04:00
[File, System, Time, Main] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other, Main] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other, Main] FileType - File Type: MRC
[File, File, Other, Main] FileTypeExtension - File Type Extension: mrc
[File, File, Other, Main] MIMEType - MIME Type: image/x-mrc
[File, File, Image, Main] 0 - Image Width: 4096
[File, File, Image, Main] 1 - Image Height: 4096
[File, File, Image, Main] 2 - Image Depth: 2
[File, File, Image, Main] 3 - Image Mode: 16-bit unsigned integer
[File, File, Image, Main] 4 - Start Point: 0 0 0
[File, File, Image, Main] 7 - Grid Size: 4096 4096 2
[File, File, Image, Main] 10 - Cell Width: 15289.4248046875
[File, File, Image, Main] 11 - Cell Height: 15289.4248046875
[File, File, Image, Main] 12 - Cell Depth: 0
[File, File, Image, Main] 13 - Cell Alpha: 90
[File, File, Image, Main] 14 - Cell Beta: 90
[File, File, Image, Main] 15 - Cell Gamma: 90
[File, File, Image, Main] 16 - Image Width Axis: X
[File, File, Image, Main] 17 - Image Height Axis: Y
[File, File, Image, Main] 18 - Image Depth Axis: Z
[File, File, Image, Main] 19 - Density Min: 1958
[File, File, Image, Main] 20 - Density Max: 5662
[File, File, Image, Main] 21 - Density Mean: 3155.2578125
[File, File, Image, Main] 22 - Space Group Number: 0
[File, File, Image, Main] 23 - Extended Header Size: 1536
[File, File, Image, Main] 26 - Extended Header Type: FEI1
[File, File, Image, Main] 27 - MRC Version: 20140
[File, File, Image, Main] 49 - Origin: 0 0 0
[File, File, Image, Main] 53 - Machine Stamp: 0x44 0x44 0x00 0x00
[File, File, Image, Main] 54 - RMS Deviation: -1
[File, File, Image, Main] 55 - Number Of Labels: 0
[File, File, Image, Main] 0 - Metadata Size: 768
[File, File, Image, Main] 4 - Metadata Version: 0
[File, File, Image, Main] 8 - Bitmask 1: 0xffffffff
[File, File, Time, Main] 12 - Time Stamp: 2020:10:21 13:54:27
[File, File, Image, Main] 20 - Microscope Type: TALOS-D5197
[File, File, Image, Main] 36 - Microscope ID: 6419
[File, File, Image, Main] 52 - Application: Tomography
[File, File, Image, Main] 68 - App Version: 4.10.0.65
[File, File, Image, Main] 84 - High Tension: 200000
[File, File, Image, Main] 92 - Dose: 3.51360899930879e+20
[File, File, Image, Main] 100 - Alpha Tilt: -64.0024700625157
[File, File, Image, Main] 108 - Beta Tilt: 0
[File, File, Image, Main] 116 - X Stage: -8.8173405e-05
[File, File, Image, Main] 124 - Y Stage: -2.8139594e-05
[File, File, Image, Main] 132 - Z Stage: 3.536763e-05
[File, File, Image, Main] 140 - Tilt Axis Angle: -0.847676487969243
[File, File, Image, Main] 148 - Dual Axis Rot: 0
[File, File, Image, Main] 156 - Pixel Size X: 3.73276964893421e-10
[File, File, Image, Main] 164 - Pixel Size Y: 3.73276964893421e-10
[File, File, Image, Main] 220 - Defocus: -1.5e-06
[File, File, Image, Main] 228 - STEM Defocus: -1.5e-06
[File, File, Image, Main] 236 - Applied Defocus: -1.5e-06
[File, File, Image, Main] 244 - Instrument Mode: TEM
[File, File, Image, Main] 248 - Projection Mode: Imaging
[File, File, Image, Main] 252 - Objective Lens: HM
[File, File, Image, Main] 268 - High Magnification Mode: SA
[File, File, Image, Main] 284 - Probe Mode: Nano
[File, File, Image, Main] 288 - EFTEM On: No
[File, File, Image, Main] 289 - Magnification: 28000
[File, File, Image, Main] 297 - Bitmask 2: 0x0cfff01f
[File, File, Image, Main] 301 - Camera Length: 0
[File, File, Image, Main] 309 - Spot Index: 7
[File, File, Image, Main] 313 - Illumination Area: 0.473917752802174
[File, File, Image, Main] 321 - Intensity: 0.473917752802174
[File, File, Image, Main] 329 - Convergence Angle: 0
[File, File, Image, Main] 387 - Shift Offset X: 0
[File, File, Image, Main] 395 - Shift Offset Y: 0
[File, File, Image, Main] 403 - Shift X: -0.00204008771106601
[File, File, Image, Main] 411 - Shift Y: 0.009031618013978
[File, File, Image, Main] 419 - Integration Time: 0.299076
[File, File, Image, Main] 427 - Binning Width: 1
[File, File, Image, Main] 431 - Binning Height: 1
[File, File, Image, Main] 435 - Camera Name: BM-Falcon
[File, File, Image, Main] 451 - Readout Area Left: 0
[File, File, Image, Main] 455 - Readout Area Top: 0
[File, File, Image, Main] 459 - Readout Area Right: 4096
[File, File, Image, Main] 463 - Readout Area Bottom: 4096
[File, File, Image, Main] 472 - Direct Det Electron Counting: No
[File, File, Image, Main] 473 - Direct Det Align Frames: No
[File, File, Image, Main] 490 - Bitmask 3: 0x007e8040
[File, File, Image, Main] 518 - Phase Plate: Yes
[File, File, Image, Main] 571 - Dwell Time: 0
[File, File, Image, Main] 587 - Scan Size Left: 0
[File, File, Image, Main] 591 - Scan Size Top: 0
[File, File, Image, Main] 595 - Scan Size Right: 0
[File, File, Image, Main] 599 - Scan Size Bottom: 0
[File, File, Image, Main] 603 - Full Scan FOV X: 0.473917752802174
[File, File, Image, Main] 611 - Full Scan FOV Y: 0.473917752802174
[File, File, Image, Main] 748 - Bitmask 4: 0x00000000
[File, File, Image, Doc1] 0 - Metadata Size: 768
[File, File, Image, Doc1] 4 - Metadata Version: 0
[File, File, Image, Doc1] 8 - Bitmask 1: 0xffffffff
[File, File, Time, Doc1] 12 - Time Stamp: 2020:10:21 13:55:19
[File, File, Image, Doc1] 20 - Microscope Type: TALOS-D5197
[File, File, Image, Doc1] 36 - Microscope ID: 6419
[File, File, Image, Doc1] 52 - Application: Tomography
[File, File, Image, Doc1] 68 - App Version: 4.10.0.65
[File, File, Image, Doc1] 84 - High Tension: 200000
[File, File, Image, Doc1] 92 - Dose: 3.56817464869021e+20
[File, File, Image, Doc1] 100 - Alpha Tilt: -62.0036705832692
[File, File, Image, Doc1] 108 - Beta Tilt: 0
[File, File, Image, Doc1] 116 - X Stage: -8.8182495e-05
[File, File, Image, Doc1] 124 - Y Stage: -2.8140608e-05
[File, File, Image, Doc1] 132 - Z Stage: 3.536763e-05
[File, File, Image, Doc1] 140 - Tilt Axis Angle: -0.847676487969243
[File, File, Image, Doc1] 148 - Dual Axis Rot: 0
[File, File, Image, Doc1] 156 - Pixel Size X: 3.73276964893421e-10
[File, File, Image, Doc1] 164 - Pixel Size Y: 3.73276964893421e-10
[File, File, Image, Doc1] 220 - Defocus: -2.81146426624101e-06
[File, File, Image, Doc1] 228 - STEM Defocus: -2.81146426624101e-06
[File, File, Image, Doc1] 236 - Applied Defocus: -1.5e-06
[File, File, Image, Doc1] 244 - Instrument Mode: TEM
[File, File, Image, Doc1] 248 - Projection Mode: Imaging
[File, File, Image, Doc1] 252 - Objective Lens: HM
[File, File, Image, Doc1] 268 - High Magnification Mode: SA
[File, File, Image, Doc1] 284 - Probe Mode: Nano
[File, File, Image, Doc1] 288 - EFTEM On: No
[File, File, Image, Doc1] 289 - Magnification: 28000
[File, File, Image, Doc1] 297 - Bitmask 2: 0x0cfff01f
[File, File, Image, Doc1] 301 - Camera Length: 0
[File, File, Image, Doc1] 309 - Spot Index: 7
[File, File, Image, Doc1] 313 - Illumination Area: 0.473917752802174
[File, File, Image, Doc1] 321 - Intensity: 0.473917752802174
