[File, System, Time, Main, , System] FileModifyDate - File Modification Date/Time: 2014:05:07 12:23:15-04:00
[File, System, Time, Main, , System] FileAccessDate - File Access Date/Time: 2014:05:07 12:23:15-04:00
[File, System, Time, Main, , System] FileInodeChangeDate - File Inode Change Date/Time: 2014:05:07 12:23:15-04:00
[QuickTime, QuickTime, Time, Main, , MOV-Movie-MovieHeader] 1 - Create Date: 2005:08:11 14:03:54
[QuickTime, QuickTime, Time, Main, , MOV-Movie-MovieHeader] 2 - Modify Date: 2010:07:30 15:43:59
[QuickTime, Track1, Time, Main, , MOV-Movie-Track-TrackHeader] 1 - Track Create Date: 2000:01:02 03:04:05
[QuickTime, Track1, Time, Main, , MOV-Movie-Track-TrackHeader] 2 - Track Modify Date: 2013:11:04 10:32:15
[QuickTime, Track1, Time, Main, Copy1, MOV-Movie-Track-Media-MediaHeader] 1 - Media Create Date: 2005:08:11 14:03:54
[QuickTime, Track1, Time, Main, Copy1, MOV-Movie-Track-Media-MediaHeader] 2 - Media Modify Date: 2005:08:11 14:03:54
[QuickTime, Track2, Time, Main, Copy1, MOV-Movie-Track-TrackHeader] 1 - Track Create Date: 2000:01:02 03:04:05
[QuickTime, Track2, Time, Main, Copy1, MOV-Movie-Track-TrackHeader] 2 - Track Modify Date: 2005:08:11 14:03:54
[QuickTime, Track2, Time, Main, , MOV-Movie-Track-Media-MediaHeader] 1 - Media Create Date: 2005:08:11 14:03:54
[QuickTime, Track2, Time, Main, , MOV-Movie-Track-Media-MediaHeader] 2 - Media Modify Date: 2005:08:11 14:03:54
[QuickTime, QuickTime, Time, Main, , MOV-Movie-UserData-Meta-ItemList] ©day - Content Create Date: 2010
[XMP, XMP-dc, Image, Main, , MOV-Movie-UserData-XMP] title - Title: x
[XMP, XMP-xmp, Time, Main, , MOV-Movie-UserData-XMP] MetadataDate - Metadata Date: 2008:09:12 11:17:39-04:00
