[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: HTML.html
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 3.4 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2010:06:28 20:35:26-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:38-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: HTML
[File, File, Other] FileTypeExtension - File Type Extension: html
[File, File, Other] MIMEType - MIME Type: text/html
[HTML, HTML, Document] title - Title: ExifTool HTML Test
[HTML, HTTP-equiv, Document] content-type - Content Type: text/html; charset="iso-8859-1"
[HTML, HTML-dc, Document] title - Title: ExifTool HTML Test
[HTML, HTML-dc, Author] creator - Creator: Phil Harvey, Another Creator
[HTML, HTML-dc, Time] date - Date: 2007-30-01
[HTML, HTML-dc, Document] format - Format: Daisy 2.02
[HTML, HTML-dc, Document] identifier - Identifier: DTB00345
[HTML, HTML-dc, Document] language - Language: EN
[HTML, HTML-dc, Author] publisher - Publisher: TPB
[HTML, HTML-dc, Author] source - Source: 0-065-01022-1
[HTML, HTML-dc, Document] subject - Subject: Greek: α β γ
[HTML, HTML-ncc, Time] sourcedate - Source Date: 1993
[HTML, HTML-ncc, Document] sourceedition - Source Edition: 1
[HTML, HTML-ncc, Document] sourcepublisher - Source Publisher: Phil's Desktop
[HTML, HTML-ncc, Document] charset - Character Set: iso-8859-1
[HTML, HTML-ncc, Document] generator - Generator: ExifTool 6.73
[HTML, HTML-ncc, Document] narrator - Narrator: a narrator
[HTML, HTML-ncc, Document] tocitems - TOC Items: 1024
[HTML, HTML-ncc, Document] totaltime - Duration: 91:27:21
[HTML, HTML-ncc, Document] pagenormal - Page Normal: 881
[HTML, HTML-ncc, Document] maxpagenormal - Max Page Normal: 881
[HTML, HTML-ncc, Document] pagefront - Page Front: 27
[HTML, HTML-ncc, Document] pagespecial - Page Special: 45
[HTML, HTML-ncc, Document] prodnotes - Prod Notes: 0
[HTML, HTML-ncc, Document] footnotes - Footnotes: 0
[HTML, HTML-ncc, Document] sidebars - Sidebars: 0
[HTML, HTML-ncc, Document] setinfo - Set Info: 1 of 3
[HTML, HTML-ncc, Document] depth - Depth: 4
[HTML, HTML-ncc, Document] kbytesize - K Byte Size: 1530000
[HTML, HTML-ncc, Document] multimediatype - Multimedia Type: audioNCC
[HTML, HTML-ncc, Document] files - Files: 97
[HTML, HTML-prod, Document] reclocation - Rec Location: Studio 2
[HTML, HTML-prod, Document] recengineer - Rec Engineer: P Harvey
[HTML, HTML-office, Document] Subject - Subject: a subject
[HTML, HTML-office, Author] Author - Author: an author
[HTML, HTML-office, Document] Keywords - Keywords: keyword1, keyword2
[HTML, HTML-office, Document] Description - Description: a comments;a new line
[HTML, HTML-office, Document] Template - Template: Normal.dotm
[HTML, HTML-office, Author] LastAuthor - Last Author: Phil Harvey
[HTML, HTML-office, Document] Revision - Revision Number: 2
[HTML, HTML-office, Document] TotalTime - Total Edit Time: 1 minute
[HTML, HTML-office, Time] Created - Create Date: 2010:06:28 23:52:00Z
[HTML, HTML-office, Time] LastSaved - Modify Date: 2010:06:28 23:52:00Z
[HTML, HTML-office, Document] Pages - Pages: 1
[HTML, HTML-office, Document] Words - Words: 84
[HTML, HTML-office, Document] Characters - Characters: 324
[HTML, HTML-office, Document] Category - Category: a catégory
[HTML, HTML-office, Document] Manager - Manager: a manager
[HTML, HTML-office, Document] Company - Company: a company
[HTML, HTML-office, Document] Lines - Lines: 26
[HTML, HTML-office, Document] Paragraphs - Paragraphs: 26
[HTML, HTML-office, Document] CharactersWithSpaces - Characters With Spaces: 382
[HTML, HTML-office, Document] Version - Revision Number: 12.0
[HTML, HTML-office, Document] Checked_x0020_by - Checked By: Phil
[HTML, HTML-office, Document] test1 - Test 1: 1
[HTML, HTML-office, Document] test2 - Test 2: 15
[HTML, HTML-office, Document] test3 - Test 3: 2010-02-05T05:00:00Z
[HTML, HTML-office, Document] test4 - Test 4: text
