[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.94
[File, System, Image] FileName - File Name: CanonRaw.cr3
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 51 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2018:03:19 13:47:34-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2018:04:18 11:52:17-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2018:04:13 10:49:45-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: CR3
[File, File, Image] FileTypeExtension - File Type Extension: cr3
[File, File, Image] MIMEType - MIME Type: image/x-canon-cr3
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[File, Track4, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[QuickTime, QuickTime, Video] 0 - Major Brand: Canon Raw (.CRX)
[QuickTime, QuickTime, Video] 1 - Minor Version: 0.0.1
[QuickTime, QuickTime, Video] 2 - Compatible Brands: crx , isom
[QuickTime, QuickTime, Video] 0 - Movie Header Version: 0
[QuickTime, QuickTime, Time] 1 - Create Date: 2018:02:21 12:08:56
[QuickTime, QuickTime, Time] 2 - Modify Date: 2018:02:21 12:08:56
[QuickTime, QuickTime, Video] 3 - Time Scale: 1
[QuickTime, QuickTime, Video] 4 - Duration: 1.00 s
[QuickTime, QuickTime, Video] 5 - Preferred Rate: 1
[QuickTime, QuickTime, Video] 6 - Preferred Volume: 100.00%
[QuickTime, QuickTime, Video] 9 - Matrix Structure: 1 0 0 0 1 0 0 0 1
[QuickTime, QuickTime, Video] 18 - Preview Time: 0 s
[QuickTime, QuickTime, Video] 19 - Preview Duration: 0 s
[QuickTime, QuickTime, Video] 20 - Poster Time: 0 s
[QuickTime, QuickTime, Video] 21 - Selection Time: 0 s
[QuickTime, QuickTime, Video] 22 - Selection Duration: 0 s
[QuickTime, QuickTime, Video] 23 - Current Time: 0 s
[QuickTime, QuickTime, Video] 24 - Next Track ID: 5
[QuickTime, Track1, Video] 0 - Track Header Version: 0
[QuickTime, Track1, Time] 1 - Track Create Date: 2018:02:21 12:08:56
[QuickTime, Track1, Time] 2 - Track Modify Date: 2018:02:21 12:08:56
[QuickTime, Track1, Video] 3 - Track ID: 1
[QuickTime, Track1, Video] 5 - Track Duration: 1.00 s
[QuickTime, Track1, Video] 8 - Track Layer: 0
[QuickTime, Track1, Video] 9 - Track Volume: 0.00%
[QuickTime, Track1, Video] 10 - Matrix Structure: 1 0 0 0 1 0 0 0 1
[QuickTime, Track1, Video] 19 - Image Width: 6000
[QuickTime, Track1, Video] 20 - Image Height: 4000
[QuickTime, Track1, Video] 0 - Media Header Version: 0
[QuickTime, Track1, Time] 1 - Media Create Date: 2018:02:21 12:08:56
[QuickTime, Track1, Time] 2 - Media Modify Date: 2018:02:21 12:08:56
[QuickTime, Track1, Video] 3 - Media Time Scale: 1
[QuickTime, Track1, Video] 4 - Media Duration: 1.00 s
[QuickTime, Track1, Video] 5 - Media Language Code: eng
[QuickTime, Track1, Video] 8 - Handler Type: Video Track
[QuickTime, Track1, Video] 2 - Graphics Mode: srcCopy
[QuickTime, Track1, Video] 3 - Op Color: 0 0 0
[QuickTime, Track1, Image] 2 - Compressor ID: CRAW
[QuickTime, Track1, Image] 16 - Source Image Width: 6000
[QuickTime, Track1, Image] 17 - Source Image Height: 4000
[QuickTime, Track1, Image] 18 - X Resolution: 72
[QuickTime, Track1, Image] 20 - Y Resolution: 72
[QuickTime, Track1, Image] 41 - Bit Depth: 24
[QuickTime, Track1, Video] stts - Video Frame Rate: 1
[QuickTime, Track1, Video] SampleTime - Sample Time: 0 s
[QuickTime, Track1, Video] SampleDuration - Sample Duration: 1.00 s
[QuickTime, Track1, Preview] JPEG - Jpg From Raw: (Binary data 29 bytes)
[QuickTime, Track2, Video] 0 - Track Header Version: 0
[QuickTime, Track2, Time] 1 - Track Create Date: 2018:02:21 12:08:56
[QuickTime, Track2, Time] 2 - Track Modify Date: 2018:02:21 12:08:56
[QuickTime, Track2, Video] 3 - Track ID: 2
[QuickTime, Track2, Video] 5 - Track Duration: 1.00 s
[QuickTime, Track2, Video] 8 - Track Layer: 0
[QuickTime, Track2, Video] 9 - Track Volume: 0.00%
[QuickTime, Track2, Video] 10 - Matrix Structure: 1 0 0 0 1 0 0 0 1
[QuickTime, Track2, Video] 19 - Image Width: 1624
[QuickTime, Track2, Video] 20 - Image Height: 1080
[QuickTime, Track2, Video] 0 - Media Header Version: 0
[QuickTime, Track2, Time] 1 - Media Create Date: 2018:02:21 12:08:56
[QuickTime, Track2, Time] 2 - Media Modify Date: 2018:02:21 12:08:56
[QuickTime, Track2, Video] 3 - Media Time Scale: 1
[QuickTime, Track2, Video] 4 - Media Duration: 1.00 s
[QuickTime, Track2, Video] 5 - Media Language Code: eng
[QuickTime, Track2, Video] 8 - Handler Type: Video Track
[QuickTime, Track2, Video] 2 - Graphics Mode: srcCopy
[QuickTime, Track2, Video] 3 - Op Color: 0 0 0
[QuickTime, Track2, Image] 2 - Compressor ID: CRAW
[QuickTime, Track2, Image] 16 - Source Image Width: 1624
[QuickTime, Track2, Image] 17 - Source Image Height: 1080
[QuickTime, Track2, Image] 18 - X Resolution: 72
[QuickTime, Track2, Image] 20 - Y Resolution: 72
[QuickTime, Track2, Image] 41 - Bit Depth: 24
[QuickTime, Track2, Video] stts - Video Frame Rate: 1
[QuickTime, Track3, Video] 0 - Track Header Version: 0
[QuickTime, Track3, Time] 1 - Track Create Date: 2018:02:21 12:08:56
[QuickTime, Track3, Time] 2 - Track Modify Date: 2018:02:21 12:08:56
[QuickTime, Track3, Video] 3 - Track ID: 3
[QuickTime, Track3, Video] 5 - Track Duration: 1.00 s
[QuickTime, Track3, Video] 8 - Track Layer: 0
[QuickTime, Track3, Video] 9 - Track Volume: 0.00%
[QuickTime, Track3, Video] 10 - Matrix Structure: 1 0 0 0 1 0 0 0 1
[QuickTime, Track3, Video] 19 - Image Width: 6288
[QuickTime, Track3, Video] 20 - Image Height: 4056
[QuickTime, Track3, Video] 0 - Media Header Version: 0
[QuickTime, Track3, Time] 1 - Media Create Date: 2018:02:21 12:08:56
[QuickTime, Track3, Time] 2 - Media Modify Date: 2018:02:21 12:08:56
[QuickTime, Track3, Video] 3 - Media Time Scale: 1
[QuickTime, Track3, Video] 4 - Media Duration: 1.00 s
[QuickTime, Track3, Video] 5 - Media Language Code: eng
