[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, File, Other] FileType - File Type: ISO
[File, File, Other] FileTypeExtension - File Type Extension: iso
[File, File, Other] MIMEType - MIME Type: application/x-iso9660-image
[ISO, ISO, Other] 40 - Volume Name: ExifTool Test Vol. 1
[ISO, ISO, Other] 80 - Volume Block Count: 190976
[ISO, ISO, Other] 128 - Volume Block Size: 2048
[ISO, ISO, Time] 174 - Root Directory Create Date: 2016:01:08 10:00:26+00:00
[ISO, ISO, Other] 190 - Volume Set Name: ExifTool Test Set
[ISO, ISO, Other] 318 - Publisher: PH Publishing
[ISO, ISO, Other] 446 - Data Preparer: Phil Harvey
[ISO, ISO, Other] 574 - Software: hdiutil 10.10v398
[ISO, ISO, Other] 702 - Copyright File Name: copyright.txt
[ISO, ISO, Other] 740 - Abstract File Name: abstract.txt
[ISO, ISO, Other] 776 - Bibligraphic File Name: index.txt
[ISO, ISO, Time] 813 - Volume Create Date: 2016:01:08 10:00:26.00+00:00
[ISO, ISO, Time] 830 - Volume Modify Date: 2016:01:08 10:00:26.00+00:00
[ISO, ISO, Other] 7 - Boot System: EL TORITO SPECIFICATION
[Composite, Composite, Other] ISO-VolumeSize - Volume Size: 391 MB
