[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.66
[File, System, Image] FileName - File Name: Canon1DmkIII.jpg
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 8.1 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2008:01:18 14:10:05-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2017:11:07 09:29:17-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2017:10:31 09:39:04-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: JPEG
[File, File, Image] FileTypeExtension - File Type Extension: jpg
[File, File, Image] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Camera] 271 - Make: Canon
[EXIF, IFD0, Camera] 272 - Camera Model Name: Canon EOS-1D Mark III
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Time] 306 - Modify Date: 2007:02:22 17:02:42
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/125
[EXIF, ExifIFD, Image] 33437 - F Number: 5.6
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 34855 - ISO: 3200
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0221
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2007:02:22 17:02:42
[EXIF, ExifIFD, Time] 36868 - Create Date: 2007:02:22 17:02:42
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37377 - Shutter Speed Value: 1/128
[EXIF, ExifIFD, Image] 37378 - Aperture Value: 5.7
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37385 - Flash: On, Fired
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 35.0 mm
[EXIF, ExifIFD, Image] 37510 - User Comment: 
[EXIF, ExifIFD, Time] 37520 - Sub Sec Time: 81
[EXIF, ExifIFD, Time] 37521 - Sub Sec Time Original: 81
[EXIF, ExifIFD, Time] 37522 - Sub Sec Time Digitized: 81
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 3888
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 2592
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98 - DCF basic file (sRGB)
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Camera] 41486 - Focal Plane X Resolution: 3512.195122
[EXIF, ExifIFD, Camera] 41487 - Focal Plane Y Resolution: 3521.73913
[EXIF, ExifIFD, Camera] 41488 - Focal Plane Resolution Unit: inches
[EXIF, ExifIFD, Image] 41985 - Custom Rendered: Normal
[EXIF, ExifIFD, Camera] 41986 - Exposure Mode: Auto
[EXIF, ExifIFD, Camera] 41987 - White Balance: Auto
[EXIF, ExifIFD, Camera] 41990 - Scene Capture Type: Standard
[EXIF, GPS, Location] 0 - GPS Version ID: 2.2.0.0
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 8060
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[EXIF, IFD1, Preview] ThumbnailImage - Thumbnail Image: (Binary data 28 bytes)
[MakerNotes, Canon, Camera] 1 - Macro Mode: Normal
[MakerNotes, Canon, Camera] 2 - Self Timer: Off
[MakerNotes, Canon, Camera] 3 - Quality: Fine
[MakerNotes, Canon, Camera] 4 - Canon Flash Mode: External flash
[MakerNotes, Canon, Camera] 5 - Continuous Drive: Continuous, High
[MakerNotes, Canon, Camera] 7 - Focus Mode: AI Servo AF
[MakerNotes, Canon, Camera] 9 - Record Mode: CR2+JPEG
[MakerNotes, Canon, Camera] 10 - Canon Image Size: Large
[MakerNotes, Canon, Camera] 11 - Easy Mode: Manual
[MakerNotes, Canon, Camera] 12 - Digital Zoom: None
[MakerNotes, Canon, Camera] 13 - Contrast: Normal
[MakerNotes, Canon, Camera] 14 - Saturation: Normal
[MakerNotes, Canon, Camera] 17 - Metering Mode: Evaluative
[MakerNotes, Canon, Camera] 18 - Focus Range: Not Known
[MakerNotes, Canon, Camera] 20 - Canon Exposure Mode: Program AE
[MakerNotes, Canon, Camera] 23 - Max Focal Length: 35 mm
[MakerNotes, Canon, Camera] 24 - Min Focal Length: 16 mm
[MakerNotes, Canon, Camera] 25 - Focal Units: 1/mm
[MakerNotes, Canon, Camera] 26 - Max Aperture: 2.8
[MakerNotes, Canon, Camera] 27 - Min Aperture: 23
[MakerNotes, Canon, Camera] 28 - Flash Activity: 145
[MakerNotes, Canon, Camera] 29 - Flash Bits: (none)
[MakerNotes, Canon, Camera] 36 - Zoom Source Width: 0
[MakerNotes, Canon, Camera] 37 - Zoom Target Width: 0
[MakerNotes, Canon, Camera] 41 - Manual Flash Output: n/a
[MakerNotes, Canon, Camera] 42 - Color Tone: Normal
[MakerNotes, Canon, Camera] 46 - SRAW Quality: n/a
[MakerNotes, Canon, Image] 1 - Focal Length: 35 mm
