[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: PhotoMechanic.jpg
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 3.4 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:10:31 12:53:49-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:47-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
[File, File, Image] CurrentIPTCDigest - Current IPTC Digest: 2c19015ea7e2d138576e147a3f093c1a
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[IPTC, IPTC, Other] 0 - Application Record Version: 3
[IPTC, IPTC, Time] 55 - Date Created: 2006:10:29
[IPTC, IPTC, Time] 60 - Time Created: 06:27:51-05:00
[IPTC, IPTC, Location] 90 - City: kingston
[IPTC, IPTC, Location] 95 - Province-State: State
[IPTC, IPTC, Location] 101 - Country-Primary Location Name: Country
[IPTC, IPTC, Location] 100 - Country-Primary Location Code: COD
[IPTC, IPTC, Other] 5 - Object Name: Object Name
[IPTC, IPTC, Other] 15 - Category: Category
[IPTC, IPTC, Other] 20 - Supplemental Categories: Supp Cat 1, Supp Cat 2
[IPTC, IPTC, Other] 25 - Keywords: Keywords, one, three, two
[IPTC, IPTC, Other] 7 - Edit Status: Edit Status
[IPTC, IPTC, Author] 80 - By-line: Photographer
[IPTC, IPTC, Author] 85 - By-line Title: Title
[IPTC, IPTC, Author] 110 - Credit: Credit
[IPTC, IPTC, Author] 115 - Source: Source
[IPTC, IPTC, Author] 122 - Writer-Editor: Writers
[IPTC, IPTC, Other] 120 - Caption-Abstract: Caption
[IPTC, IPTC, Other] 105 - Headline: Headline
[IPTC, IPTC, Other] 40 - Special Instructions: Special ins
[IPTC, IPTC, Other] 10 - Urgency: 8 (least urgent)
[IPTC, IPTC, Author] 116 - Copyright Notice: Copyright
[IPTC, IPTC, Image] 221 - Prefs: Tagged:0, ColorClass:0, Rating:0, FrameNum:-00001
[Photoshop, Photoshop, Image] 0 - X Resolution: 200
[Photoshop, Photoshop, Image] 2 - Displayed Units X: inches
[Photoshop, Photoshop, Image] 4 - Y Resolution: 200
[Photoshop, Photoshop, Image] 6 - Displayed Units Y: inches
[Photoshop, Photoshop, Author] 1034 - Copyright Flag: True
[XMP, XMP-x, Document] xmptk - XMP Toolkit: XMP toolkit 2.9-9, framework 1.6
[XMP, XMP-iptcCore, Location] CountryCode - Country Code: COD
[XMP, XMP-photoshop, Location] City - City: kingston
[XMP, XMP-photoshop, Location] State - State: State
[XMP, XMP-photoshop, Location] Country - Country: Country
[XMP, XMP-photoshop, Image] Category - Category: Category
[XMP, XMP-photoshop, Author] AuthorsPosition - Authors Position: Title
[XMP, XMP-photoshop, Author] Credit - Credit: Credit
[XMP, XMP-photoshop, Author] Source - Source: Source
[XMP, XMP-photoshop, Author] CaptionWriter - Caption Writer: Writers
[XMP, XMP-photoshop, Image] Headline - Headline: Headline
[XMP, XMP-photoshop, Image] Instructions - Instructions: Special ins
[XMP, XMP-photoshop, Image] TransmissionReference - Transmission Reference: Trans ref
[XMP, XMP-photoshop, Image] Urgency - Urgency: 8 (least urgent)
[XMP, XMP-photoshop, Image] SupplementalCategories - Supplemental Categories: Supp Cat 1, Supp Cat 2
[XMP, XMP-photoshop, Time] DateCreated - Date Created: 2006:10:29
[XMP, XMP-xmpRights, Author] Marked - Marked: True
[XMP, XMP-photomech, Image] Prefs - Prefs: Tagged:0, ColorClass:0, Rating:0, FrameNum:-00001
[XMP, XMP-photomech, Image] EditStatus - Edit Status: Edit Status
[XMP, XMP-photomech, Location] CountryCode - Country Code: COD
[XMP, XMP-photomech, Time] TimeCreated - Time Created: 06:27:51-05:00
[XMP, XMP-dc, Image] subject - Subject: Keywords, one, three, two
[XMP, XMP-dc, Image] description - Description: Caption
[XMP, XMP-dc, Author] creator - Creator: Photographer
[XMP, XMP-dc, Image] title - Title: Object Name
[XMP, XMP-dc, Author] rights - Rights: Copyright
[PhotoMechanic, PhotoMechanic, Image] 221 - Tagged: Yes
[PhotoMechanic, PhotoMechanic, Image] 222 - Color Class: 6 (Typical alt)
[PhotoMechanic, PhotoMechanic, Image] 216 - Rotation: 180
[PhotoMechanic, PhotoMechanic, Image] 217 - Crop Left: 438
[PhotoMechanic, PhotoMechanic, Image] 218 - Crop Top: 618
[PhotoMechanic, PhotoMechanic, Image] 219 - Crop Right: 890
[PhotoMechanic, PhotoMechanic, Image] 220 - Crop Bottom: 1072
[Composite, Composite, Image] Exif-ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000064
[Composite, Composite, Time] IPTC-DateTimeCreated - Date/Time Created: 2006:10:29 06:27:51-05:00
[Composite, Composite, Time] Exif-DateTimeOriginal - Date/Time Original: 2006:10:29 06:27:51-05:00
