[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: Pentax.jpg
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 2.7 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2008:03:28 13:40:33-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:46-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[JFIF, JFIF, Image] 0 - JFIF Version: 1.01
[JFIF, JFIF, Image] 2 - Resolution Unit: None
[JFIF, JFIF, Image] 3 - X Resolution: 1
[JFIF, JFIF, Image] 5 - Y Resolution: 1
[EXIF, IFD0, Camera] 271 - Make: PENTAX Corporation
[EXIF, IFD0, Camera] 272 - Camera Model Name: PENTAX K10D
[EXIF, IFD0, Image] 274 - Orientation: Rotate 270 CW
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: K10D Ver 1.30
[EXIF, IFD0, Time] 306 - Modify Date: 2008:03:02 12:01:23
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/100
[EXIF, ExifIFD, Image] 33437 - F Number: 13.0
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Aperture-priority AE
[EXIF, ExifIFD, Image] 34855 - ISO: 100
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0221
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2008:03:02 12:01:23
[EXIF, ExifIFD, Time] 36868 - Create Date: 2008:03:02 12:01:23
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: +0.7
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37385 - Flash: Off, Did not fire
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 10.0 mm
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 3008
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 2000
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98 - DCF basic file (sRGB)
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Camera] 41495 - Sensing Method: One-chip color area
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[EXIF, ExifIFD, Image] 41985 - Custom Rendered: Normal
[EXIF, ExifIFD, Camera] 41986 - Exposure Mode: Manual
[EXIF, ExifIFD, Camera] 41987 - White Balance: Auto
[EXIF, ExifIFD, Camera] 41989 - Focal Length In 35mm Format: 15 mm
[EXIF, ExifIFD, Camera] 41990 - Scene Capture Type: Standard
[EXIF, ExifIFD, Camera] 41992 - Contrast: Normal
[EXIF, ExifIFD, Camera] 41993 - Saturation: Normal
[EXIF, ExifIFD, Camera] 41994 - Sharpness: Normal
[EXIF, ExifIFD, Camera] 41996 - Subject Distance Range: Distant
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 2418
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[EXIF, IFD1, Preview] Exif-ThumbnailImage - Thumbnail Image: (Binary data 28 bytes)
[MakerNotes, Pentax, Camera] 0 - Pentax Version: 3.0.0.0
[MakerNotes, Pentax, Camera] 1 - Pentax Model Type: 0
[MakerNotes, Pentax, Image] 2 - Preview Image Size: 640x480
[MakerNotes, Pentax, Image] 3 - Preview Image Length: 26
[MakerNotes, Pentax, Image] 4 - Preview Image Start: 2446
[MakerNotes, Pentax, Camera] 5 - Pentax Model ID: K10D
[MakerNotes, Pentax, Time] 6 - Date: 2008:03:02
[MakerNotes, Pentax, Time] 7 - Time: 12:01:23
[MakerNotes, Pentax, Camera] 8 - Quality: Better
[MakerNotes, Pentax, Camera] 12 - Flash Mode: Off, Did not fire; Internal
[MakerNotes, Pentax, Camera] 13 - Focus Mode: AF-S (Focus-priority)
[MakerNotes, Pentax, Camera] 14 - AF Point Selected: Center
[MakerNotes, Pentax, Camera] 18 - Exposure Time: 1/100
[MakerNotes, Pentax, Camera] 19 - F Number: 13.0
[MakerNotes, Pentax, Camera] 20 - ISO: 100
[MakerNotes, Pentax, Camera] 22 - Exposure Compensation: +0.7
[MakerNotes, Pentax, Camera] 23 - Metering Mode: Multi-segment
[MakerNotes, Pentax, Camera] 24 - Auto Bracketing: 0 EV, No Extended Bracket
[MakerNotes, Pentax, Camera] 25 - White Balance: Auto
[MakerNotes, Pentax, Camera] 26 - White Balance Mode: Auto (Daylight)
[MakerNotes, Pentax, Camera] 29 - Focal Length: 10.0 mm
[MakerNotes, Pentax, Camera] 31 - Saturation: 0 (normal)
[MakerNotes, Pentax, Camera] 32 - Contrast: 0 (normal)
[MakerNotes, Pentax, Camera] 33 - Sharpness: 0 (normal)
[MakerNotes, Pentax, Time] 34 - World Time Location: Hometown
[MakerNotes, Pentax, Time] 35 - Hometown City: Toronto
[MakerNotes, Pentax, Time] 36 - Destination City: New York
[MakerNotes, Pentax, Time] 37 - Hometown DST: No
[MakerNotes, Pentax, Time] 38 - Destination DST: No
[MakerNotes, Pentax, Camera] 39 - DSP Firmware Version: 1.30.00.18
[MakerNotes, Pentax, Camera] 40 - CPU Firmware Version: 1.30.00.18
[MakerNotes, Pentax, Camera] 45 - Effective LV: 14.8
[MakerNotes, Pentax, Camera] 50 - Image Editing: None
[MakerNotes, Pentax, Camera] 51 - Picture Mode: Aperture Priority; 1/3 EV steps
[MakerNotes, Pentax, Camera] 52 - Drive Mode: Single-frame; No Timer; Shutter Button; Single Exposure
[MakerNotes, Pentax, Camera] 55 - Color Space: sRGB
[MakerNotes, Pentax, Camera] 61 - Data Scaling: 8192
[MakerNotes, Pentax, Camera] 62 - Preview Image Borders: 28 28 0 0
[MakerNotes, Pentax, Camera] 0 - Lens Type: Sigma or Tamron Lens (3 44)
[MakerNotes, Pentax, Camera] 64 - Sensitivity Adjust: 0
[MakerNotes, Pentax, Camera] 65 - Image Edit Count: 0
[MakerNotes, Pentax, Camera] 71 - Camera Temperature: 12 C
[MakerNotes, Pentax, Camera] 72 - AE Lock: Off
[MakerNotes, Pentax, Camera] 73 - Noise Reduction: Off
[MakerNotes, Pentax, Camera] 77 - Flash Exposure Comp: 0
[MakerNotes, Pentax, Camera] 79 - Image Tone: Natural
[MakerNotes, Pentax, Camera] 0 - SR Result: Stabilized
[MakerNotes, Pentax, Camera] 1 - Shake Reduction: On
[MakerNotes, Pentax, Camera] 2 - SR Half Press Time: 1.53 s
[MakerNotes, Pentax, Camera] 3 - SR Focal Length: 10 mm
[MakerNotes, Pentax, Camera] 93 - Shutter Count: 1648
[MakerNotes, Pentax, Camera] 98 - Raw Development Process: 1 (K10D,K200D,K2000,K-m)
[MakerNotes, Pentax, Camera] 512 - Black Point: 0 0 0 0
[MakerNotes, Pentax, Camera] 513 - White Point: 13568 8192 8192 9088
[MakerNotes, Pentax, Camera] 0 - Picture Mode 2: Aperture Priority
[MakerNotes, Pentax, Camera] 1.1 - Program Line: Normal
[MakerNotes, Pentax, Camera] 1.2 - EV Steps: 1/3 EV Steps
[MakerNotes, Pentax, Camera] 1.3 - E-Dial In Program: Tv or Av
[MakerNotes, Pentax, Camera] 1.4 - Aperture Ring Use: Permitted
[MakerNotes, Pentax, Camera] 2 - Flash Options: Wireless (Master)
[MakerNotes, Pentax, Camera] 2.1 - Metering Mode 2: Multi-segment
[MakerNotes, Pentax, Camera] 3 - AF Point Mode: Select
[MakerNotes, Pentax, Camera] 3.1 - Focus Mode 2: AF-S
[MakerNotes, Pentax, Camera] 4 - AF Point Selected 2: Center
[MakerNotes, Pentax, Camera] 6 - ISO Floor: 100
[MakerNotes, Pentax, Camera] 7 - Drive Mode 2: Single-frame
[MakerNotes, Pentax, Camera] 8 - Exposure Bracket Step Size: 0.3
[MakerNotes, Pentax, Camera] 9 - Bracket Shot Number: n/a
[MakerNotes, Pentax, Camera] 10 - White Balance Set: Auto
[MakerNotes, Pentax, Camera] 10.1 - Multiple Exposure Set: Off
[MakerNotes, Pentax, Camera] 13 - Raw And Jpg Recording: RAW+JPEG (PEF, Better)
[MakerNotes, Pentax, Camera] 14.1 - Jpg Recorded Pixels: 6 MP
[MakerNotes, Pentax, Camera] 16 - Flash Options 2: Wireless (Master)
[MakerNotes, Pentax, Camera] 16.1 - Metering Mode 3: Multi-segment
[MakerNotes, Pentax, Camera] 17.1 - SR Active: Yes
[MakerNotes, Pentax, Camera] 17.2 - Rotation: Rotate 270 CW
[MakerNotes, Pentax, Camera] 17.3 - ISO Setting: Manual
[MakerNotes, Pentax, Camera] 17.4 - Sensitivity Steps: 1 EV Steps
