[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.93
[File, File, Image] FileType - File Type: PNG
[File, File, Image] FileTypeExtension - File Type Extension: png
[File, File, Image] MIMEType - MIME Type: image/png
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[PNG, PNG, Image] 0 - Image Width: 16
[PNG, PNG, Image] 4 - Image Height: 16
[PNG, PNG, Image] 8 - Bit Depth: 1
[PNG, PNG, Image] 9 - Color Type: Grayscale
[PNG, PNG, Image] 10 - Compression: Deflate/Inflate
[PNG, PNG, Image] 11 - Filter: Adaptive
[PNG, PNG, Image] 12 - Interlace: Noninterlaced
[PNG, PNG, Image] bKGD - Background Color: 0
[PNG, PNG-pHYs, Image] 0 - Pixels Per Unit X: 1234
[PNG, PNG-pHYs, Image] 4 - Pixels Per Unit Y: 2834
[PNG, PNG-pHYs, Image] 8 - Pixel Units: meters
[PNG, PNG, Author] Artist - Artist: Phil Harvey
[PNG, PNG, Author] Copyright - Copyright: Copyright 2004 Phil Harvey
[PNG, PNG, Image] Description - Description: UTF-16 (big-endian) encoded XMP
[PNG, PNG, Camera] Make - Make: FUJIFILM
[PNG, PNG, Camera] Model - Model: FinePix2400Zoom
[PNG, PNG, Image] Software - Software: Adobe Photoshop 7.0
[PNG, PNG, Image] Source - Source: I'm the source
[PNG, PNG, Image] Title - Title: Test IPTC picture
[PNG, PNG, Image] URL - URL: http://owl.phy.queensu.ca/~phil/exiftool/
[PNG, PNG, Time] create-date - Create Date: 2001:05:19 18:36:41
[PNG, PNG, Time] tIME - Modify Date: 2004:02:26 09:36:46
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 9.93
[XMP, XMP-dc, Author] creator - Creator: Phil Harvey
[XMP, XMP-dc, Image] description - Description: UTF-16 (big-endian) encoded XMP
[XMP, XMP-dc, Author] rights - Rights: Copyright 2004 Phil Harvey
[XMP, XMP-dc, Image] subject - Subject: ExifTool, Test, XMP
[XMP, XMP-dc, Image] title - Title: Test IPTC picture
[XMP, XMP-exif, Image] ComponentsConfiguration - Components Configuration: Y, Cb, Cr, -
[XMP, XMP-exif, Image] CompressedBitsPerPixel - Compressed Bits Per Pixel: 1.6
[XMP, XMP-exif, Camera] FlashFired - Flash Fired: True
[XMP, XMP-exif, Camera] FlashFunction - Flash Function: False
[XMP, XMP-exif, Camera] FlashMode - Flash Mode: Unknown
[XMP, XMP-exif, Camera] FlashRedEyeMode - Flash Red Eye Mode: False
[XMP, XMP-exif, Camera] FlashReturn - Flash Return: No return detection
[XMP, XMP-photoshop, Author] AuthorsPosition - Authors Position: My Position
[XMP, XMP-photoshop, Author] CaptionWriter - Caption Writer: I wrote it
[XMP, XMP-photoshop, Location] Country - Country: Canada
[XMP, XMP-photoshop, Image] Instructions - Instructions: What instructions
[XMP, XMP-photoshop, Location] State - State: Ont
[XMP, XMP-photoshop, Image] TransmissionReference - Transmission Reference: What is a transmission reference?
[XMP, XMP-tiff, Image] BitsPerSample - Bits Per Sample: 8
[XMP, XMP-tiff, Image] Compression - Compression: JPEG (old-style)
[XMP, XMP-tiff, Image] ImageLength - Image Height: 8
[XMP, XMP-tiff, Image] ImageWidth - Image Width: 8
[XMP, XMP-tiff, Image] YCbCrPositioning - Y Cb Cr Positioning: Co-sited
[XMP, XMP-tiff, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[XMP, XMP-xmpBJ, Other] JobRefName - Job Ref Name: My Job
[XMP, XMP-xmpMM, Other] DocumentID - Document ID: adobe:docid:photoshop:4cc7b857-69d0-11d8-8ac4-bb59c92f0d9a
[XMP, XMP-xmpRights, Author] Marked - Marked: False
[XMP, XMP-xmpRights, Author] WebStatement - Web Statement: http://owl.phy.queensu.ca/~phil/exiftool/
[EXIF, IFD0, Image] 270 - Image Description: A witty caption
[EXIF, IFD0, Camera] 271 - Make: FUJIFILM
[EXIF, IFD0, Camera] 272 - Camera Model Name: FinePix2400Zoom
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: Adobe Photoshop 7.0
[EXIF, IFD0, Time] 306 - Modify Date: 2004:02:26 09:36:46
[EXIF, IFD0, Author] 315 - Artist: Phil Harvey
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[EXIF, IFD0, Author] 33432 - Copyright: Copyright 2004 Phil Harvey
[EXIF, ExifIFD, Image] 33437 - F Number: 3.5
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 34855 - ISO: 100
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0210
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2001:05:19 18:36:41
[EXIF, ExifIFD, Time] 36868 - Create Date: 2001:05:19 18:36:41
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37377 - Shutter Speed Value: 1/64
[EXIF, ExifIFD, Image] 37378 - Aperture Value: 3.5
[EXIF, ExifIFD, Image] 37379 - Brightness Value: 2
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 3.5
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 6.0 mm
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 100
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 80
[EXIF, ExifIFD, Camera] 41486 - Focal Plane X Resolution: 3053
[EXIF, ExifIFD, Camera] 41487 - Focal Plane Y Resolution: 3053
[EXIF, ExifIFD, Camera] 41488 - Focal Plane Resolution Unit: cm
[EXIF, ExifIFD, Camera] 41495 - Sensing Method: One-chip color area
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[IPTC, IPTC, Other] 0 - Application Record Version: 2
[IPTC, IPTC, Other] 5 - Object Name: Test IPTC picture
[IPTC, IPTC, Other] 10 - Urgency: 8 (least urgent)
[IPTC, IPTC, Other] 15 - Category: 1
[IPTC, IPTC, Other] 20 - Supplemental Categories: amazing, image, utilities
[IPTC, IPTC, Other] 25 - Keywords: ExifTool, Test, IPTC
[IPTC, IPTC, Other] 40 - Special Instructions: What instructions
[IPTC, IPTC, Time] 55 - Date Created: 2004:02:26
[IPTC, IPTC, Author] 80 - By-line: Phil Harvey
[IPTC, IPTC, Author] 85 - By-line Title: My Position
[IPTC, IPTC, Location] 90 - City: Kingston
[IPTC, IPTC, Location] 95 - Province-State: Ont
[IPTC, IPTC, Location] 101 - Country-Primary Location Name: Canada
[IPTC, IPTC, Other] 103 - Original Transmission Reference: What is a transmission reference
[IPTC, IPTC, Other] 105 - Headline: No headline
[IPTC, IPTC, Author] 110 - Credit: My Credit
[IPTC, IPTC, Author] 115 - Source: I'm the source
[IPTC, IPTC, Author] 116 - Copyright Notice: Copyright 2004 Phil Harvey
[IPTC, IPTC, Other] 120 - Caption-Abstract: A witty caption
[IPTC, IPTC, Author] 122 - Writer-Editor: I wrote it
[Photoshop, Photoshop, Author] 1034 - Copyright Flag: False
[Photoshop, Photoshop, Author] 1035 - URL: http://owl.phy.queensu.ca/~phil/exiftool/
[Photoshop, Photoshop, Image] 1037 - Global Angle: 30
[Photoshop, Photoshop, Image] 1049 - Global Altitude: 30
[Composite, Composite, Image] Aperture - Aperture: 3.5
[Composite, Composite, Other] Flash - Flash: Fired
[Composite, Composite, Image] ShutterSpeed - Shutter Speed: 1/64
[Composite, Composite, Image] ImageSize - Image Size: 16x16
[Composite, Composite, Image] LightValue - Light Value: 9.6
[Composite, Composite, Image] Megapixels - Megapixels: 0.000256
[Composite, Composite, Camera] FocalLength35efl - Focal Length: 6.0 mm
