[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: Torrent.torrent
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 837 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2013:09:06 11:36:26-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:52-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: Torrent
[File, File, Other] FileTypeExtension - File Type Extension: torrent
[File, File, Other] MIMEType - MIME Type: application/x-bittorrent
[Torrent, Torrent, Document] announce - Announce: udp://tracker.bogus.com:80/announce
[Torrent, Torrent, Document] announce-list1 - Announce List 1: udp://tracker.bogus.com:80/announce
[Torrent, Torrent, Document] announce-list2 - Announce List 2: udp://tracker.bogus2.com:80/announce
[Torrent, Torrent, Document] announce-list3 - Announce List 3: udp://tracker.bogus3.com:80/announce
[Torrent, Torrent, Document] comment - Comment: Test BitTorrent description file
[Torrent, Torrent, Document] created by - Creator: uTorrent/1840
[Torrent, Torrent, Time] creation date - Create Date: 2013:09:06 11:33:59-04:00
[Torrent, Torrent, Document] encoding - Encoding: UTF-8
[Torrent, Torrent, Document] length1 - File 1 Length: 3.7 MB
[Torrent, Torrent, Document] path1 - File 1 Path: exiftool-9.35.zip
[Torrent, Torrent, Document] length2 - File 2 Length: 3.7 MB
[Torrent, Torrent, Document] path2 - File 2 Path: Image-ExifTool-9.35.tar.gz
[Torrent, Torrent, Document] length3 - File 3 Length: 2.4 MB
[Torrent, Torrent, Document] path3 - File 3 Path: ExifTool-9.35.dmg
[Torrent, Torrent, Document] length4 - File 4 Length: 11 kB
[Torrent, Torrent, Document] path4 - File 4 Path: docs/README
[Torrent, Torrent, Document] name - Name: Image-ExifTool-9.35
[Torrent, Torrent, Document] piece length - Piece Length: 1048576
[Torrent, Torrent, Document] pieces - Pieces: (Binary data 200 bytes)
[Torrent, Torrent, Document] url-list1 - URL List 1: http://seed.bogus.com/
[Torrent, Torrent, Document] url-list2 - URL List 2: http://seed.bogus2.com/
