[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.03
[File, System, Other] FileName - File Name: DjVu.djvu
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 930 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2019:12:04 21:22:58-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:07:29 09:04:03-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2019:12:04 21:22:58-05:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: DJVU (multi-page)
[File, File, Other] FileTypeExtension - File Type Extension: djvu
[File, File, Other] MIMEType - MIME Type: image/vnd.djvu
[DjVu, DjVu, Image] 0 - Subfile Type: Single-page image
[DjVu, DjVu, Image] 0 - Image Width: 8
[DjVu, DjVu, Image] 2 - Image Height: 8
[DjVu, DjVu, Image] 4 - DjVu Version: 0.24
[DjVu, DjVu, Image] 6 - Spatial Resolution: 100
[DjVu, DjVu, Image] 8 - Gamma: 2.2
[DjVu, DjVu, Image] 9 - Orientation: Unknown (0)
[DjVu, DjVu, Image] INCL - Included File ID: shared_anno.iff
[DjVu, DjVu, Image] 0 - Subfile Type: Shared component
[DjVu, DjVu-Meta, Author] Author - Author: Phil Harvey
[DjVu, DjVu-Meta, Image] Title - Title: DjVu Metadata Sample
[DjVu, DjVu-Meta, Image] Subject - Subject: ExifTool DjVu test image
[DjVu, DjVu-Meta, Image] Creator - Creator: ExifTool
[DjVu, DjVu-Meta, Time] CreationDate - Create Date: 2008:09:23 12:31:34-04:00
[DjVu, DjVu-Meta, Time] ModDate - Modify Date: 2008:11:11 09:17:10-05:00
[DjVu, DjVu-Meta, Image] Keywords - Keywords: ExifTool, Test, DjVu, XMP
[DjVu, DjVu-Meta, Image] Producer - Producer: djvused
[DjVu, DjVu-Meta, Image] note - Note: Must escape double quotes (") and backslashes (\)
[DjVu, DjVu-Meta, Image] Trapped - Trapped: Unknown
[DjVu, DjVu-Meta, Image] annote - Annotation: Did you get this?
[DjVu, DjVu-Meta, Image] url - URL: https://exiftool.org/
[XMP, XMP-album, Image] Notes - Notes: Must escape double quotes (") and backslashes (\)
[XMP, XMP-dc, Author] creator - Creator: Phil Harvey
[XMP, XMP-dc, Image] description - Description: ExifTool DjVu test image
[XMP, XMP-dc, Author] rights - Rights: Copyright 2008 Phil Harvey
[XMP, XMP-dc, Image] subject - Subject: ExifTool, Test, DjVu, XMP
[XMP, XMP-dc, Image] title - Title: DjVu Metadata Sample
[XMP, XMP-pdf, Image] Keywords - Keywords: ExifTool, Test, DjVu, XMP
[XMP, XMP-pdf, Author] Producer - Producer: djvused
[XMP, XMP-pdf, Image] Trapped - Trapped: Unknown
[XMP, XMP-xmp, Time] CreateDate - Create Date: 2008:09:23 12:31:34-04:00
[XMP, XMP-xmp, Image] CreatorTool - Creator Tool: ExifTool
[XMP, XMP-xmp, Time] ModifyDate - Modify Date: 2008:11:11 09:17:10-05:00
[Composite, Composite, Image] Exif-ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000064
