[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.93
[File, System, Image] FileName - File Name: Lytro.lfp
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 4.3 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2014:07:17 11:22:05-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2015:04:18 07:17:35-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:03:07 15:31:22-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: LFP
[File, File, Image] FileTypeExtension - File Type Extension: lfp
[File, File, Image] MIMEType - MIME Type: image/x-lytro-lfp
[Lytro, Lytro, Camera] JSONMetadata - JSON Metadata: [(Binary data 778 bytes),(Binary data 3155 bytes),(Binary data 131 bytes)]
[Lytro, Lytro, Image] PictureDerivationArray - Picture Derivation Array: sha1-f58530c3902263bfc1d411cac2b965d635fb6287
[Lytro, Lytro, Image] PictureFrameArrayFrameImageRef - Picture Frame Array Frame Image Ref: sha1-0360f825e6eed3c7c470fb79a755a54df07fae84
[Lytro, Lytro, Image] PictureFrameArrayFrameMetadataRef - Picture Frame Array Frame Metadata Ref: sha1-031d1e1d0e65efcd6ea74c811a0bc170498d8574
[Lytro, Lytro, Image] PictureFrameArrayFramePrivateMetadataRef - Picture Frame Array Frame Private Metadata Ref: sha1-990a1858fe077fa0601df485704fc1d674a5e6b0
[Lytro, Lytro, Image] PictureFrameArrayParametersVendorContentCom.lytro.tagsDarkFrame - Picture Frame Array Dark Frame: false
[Lytro, Lytro, Image] PictureFrameArrayParametersVendorContentCom.lytro.tagsModulationFrame - Picture Frame Array Modulation Frame: false
[Lytro, Lytro, Image] PictureViewArrayType - Picture View Array Type: com.lytro.stars
[Lytro, Lytro, Image] PictureViewArrayVendorContentStarred - Picture View Array Vendor Content Starred: true
[Lytro, Lytro, Image] VersionMajor - Version Major: 1
[Lytro, Lytro, Image] VersionMinor - Version Minor: 0
[Lytro, Lytro, Image] VersionProvisionalDate - Version Provisional Date: 2011-08-03
[Lytro, Lytro, Camera] CameraFirmware - Firmware Version: v1.0a60, vv1.0.0, Thu Feb 23 15:02:57 PST 2012, e10fcca0668db3dbf94ae347248db3da070d21e9, mods=0, ofw=0
[Lytro, Lytro, Camera] CameraMake - Make: Lytro, Inc.
[Lytro, Lytro, Camera] CameraModel - Camera Model Name: F01
[Lytro, Lytro, Camera] DevicesAccelerometerSampleArrayTime - Accelerometer Time: 0
[Lytro, Lytro, Camera] DevicesAccelerometerSampleArrayX - Accelerometer X: -0.039215687662363052368
[Lytro, Lytro, Camera] DevicesAccelerometerSampleArrayY - Accelerometer Y: 0.94117647409439086914
[Lytro, Lytro, Camera] DevicesAccelerometerSampleArrayZ - Accelerometer Z: 0.2509804069995880127
[Lytro, Lytro, Time] DevicesClockZuluTime - Date Time Original: 2012:04:12 14:10:55.000Z
[Lytro, Lytro, Camera] DevicesLensExitPupilOffsetZ - Lens Exit Pupil Offset Z: 0.11637913513183592573
[Lytro, Lytro, Camera] DevicesLensFNumber - F Number: 1.9
[Lytro, Lytro, Camera] DevicesLensFocalLength - Focal Length: 6.4 mm
[Lytro, Lytro, Camera] DevicesLensFocusStep - Lens Focus Step: 721
[Lytro, Lytro, Camera] DevicesLensFocusStepperOffset - Lens Focus Stepper Offset: -13
[Lytro, Lytro, Camera] DevicesLensInfinityLambda - Lens Infinity Lambda: 43.904331207275390625
[Lytro, Lytro, Camera] DevicesLensTemperature - Lens Temperature: 34.1 C
[Lytro, Lytro, Camera] DevicesLensTemperatureAdc - Lens Temperature Adc: 2633
[Lytro, Lytro, Camera] DevicesLensZoomStep - Lens Zoom Step: 981
[Lytro, Lytro, Camera] DevicesLensZoomStepperOffset - Lens Zoom Stepper Offset: -1
[Lytro, Lytro, Camera] DevicesMlaLensPitch - Mla Lens Pitch: 1.3898614883422850808e-05
[Lytro, Lytro, Camera] DevicesMlaRotation - Mla Rotation: -0.00028155732434242963791
[Lytro, Lytro, Camera] DevicesMlaScaleFactorX - Mla Scale Factor X: 1
[Lytro, Lytro, Camera] DevicesMlaScaleFactorY - Mla Scale Factor Y: 1.0004389286041259766
[Lytro, Lytro, Camera] DevicesMlaSensorOffsetX - Mla Sensor Offset X: -3.5040323734283452459e-06
