[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: GIMP.xcf
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 2.4 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2019:12:04 21:22:58-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:38-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: XCF
[File, File, Other] FileTypeExtension - File Type Extension: xcf
[File, File, Other] MIMEType - MIME Type: image/x-xcf
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[GIMP, GIMP, Image] 9 - XCF Version: 0
[GIMP, GIMP, Image] 14 - Image Width: 8
[GIMP, GIMP, Image] 18 - Image Height: 8
[GIMP, GIMP, Image] 22 - Color Mode: RGB Color
[GIMP, GIMP, Image] 17 - Compression: RLE Encoding
[GIMP, GIMP, Image] 0 - X Resolution: 72
[GIMP, GIMP, Image] 1 - Y Resolution: 72
[GIMP, GIMP, Image] 20 - Tattoo: 2
[GIMP, GIMP, Image] 22 - Units: Inches
[XMP, XMP-dc, Author] creator - Creator: Phil Harvey
[XMP, XMP-dc, Image] description - Description: ExifTool XCF test
[XMP, XMP-dc, Author] rights - Rights: Free for all
[XMP, XMP-dc, Image] title - Title: Test Picture
[XMP, XMP-xmpRights, Author] WebStatement - Web Statement: https://exiftool.org/
[EXIF, IFD0, Image] 270 - Image Description: This is a teeny weeny white square
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: Adobe Photoshop 7.0
[EXIF, IFD0, Time] 306 - Modify Date: 2005:07:18 08:27:14
[EXIF, IFD0, Author] 315 - Artist: Phil Harvey
[EXIF, IFD0, Author] 33432 - Copyright: Free for all
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0210
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: Uncalibrated
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 8
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 8
[ICC_Profile, ICC-header, Image] 4 - Profile CMM Type: Nikon Corporation
[ICC_Profile, ICC-header, Image] 8 - Profile Version: 2.2.0
[ICC_Profile, ICC-header, Image] 12 - Profile Class: Display Device Profile
[ICC_Profile, ICC-header, Image] 16 - Color Space Data: RGB 
[ICC_Profile, ICC-header, Image] 20 - Profile Connection Space: XYZ 
[ICC_Profile, ICC-header, Time] 24 - Profile Date Time: 1999:12:07 18:59:22
[ICC_Profile, ICC-header, Image] 36 - Profile File Signature: acsp
[ICC_Profile, ICC-header, Image] 40 - Primary Platform: Apple Computer Inc.
[ICC_Profile, ICC-header, Image] 44 - CMM Flags: Not Embedded, Independent
[ICC_Profile, ICC-header, Image] 48 - Device Manufacturer: none
[ICC_Profile, ICC-header, Image] 52 - Device Model: 
[ICC_Profile, ICC-header, Image] 56 - Device Attributes: Reflective, Glossy, Positive, Color
[ICC_Profile, ICC-header, Image] 64 - Rendering Intent: Perceptual
[ICC_Profile, ICC-header, Image] 68 - Connection Space Illuminant: 0.9642 1 0.82491
[ICC_Profile, ICC-header, Image] 80 - Profile Creator: 
[ICC_Profile, ICC-header, Image] 84 - Profile ID: 0
[ICC_Profile, ICC_Profile, Image] desc - Profile Description: Nikon Adobe RGB 4.0.0.3000
[ICC_Profile, ICC_Profile, Image] rXYZ - Red Matrix Column: 0.60976 0.31113 0.01947
[ICC_Profile, ICC_Profile, Image] gXYZ - Green Matrix Column: 0.20525 0.62566 0.06087
[ICC_Profile, ICC_Profile, Image] bXYZ - Blue Matrix Column: 0.1492 0.06322 0.74463
[ICC_Profile, ICC_Profile, Image] rTRC - Red Tone Reproduction Curve: (Binary data 14 bytes)
[ICC_Profile, ICC_Profile, Image] gTRC - Green Tone Reproduction Curve: (Binary data 14 bytes)
[ICC_Profile, ICC_Profile, Image] bTRC - Blue Tone Reproduction Curve: (Binary data 14 bytes)
[ICC_Profile, ICC_Profile, Image] wtpt - Media White Point: 0.9505 1 1.0891
[ICC_Profile, ICC_Profile, Image] cprt - Profile Copyright: Nikon Inc. & Nikon Corporation 2001
[Composite, Composite, Image] Exif-ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000064
