[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.28
[File, System, Image] FileName - File Name: Writer_11_failed.jpg
[File, System, Image] Directory - Directory: t
[File, System, Image] FileSize - File Size: 3.4 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2016:09:26 11:36:04-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:09:26 11:36:04-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:09:26 11:36:04-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: JPEG
[File, File, Image] FileTypeExtension - File Type Extension: jpg
[File, File, Image] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[File, File, Image] CurrentIPTCDigest - Current IPTC Digest: a22376bee9f94185aa8b4c238763315f
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0231
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2005:01:19 13:37:22
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: Uncalibrated
[EXIF, GPS, Location] 0 - GPS Version ID: 2.3.0.0
[EXIF, GPS, Location] 2 - GPS Latitude: 44 deg 14' 12.25"
[IPTC, IPTC, Image] 22 - File Version: 12
[IPTC, IPTC, Other] 0 - Envelope Record Version: 4
[IPTC, IPTC, Other] 25 - Keywords: this <<separator>> that
[IPTC, IPTC, Other] 0 - Application Record Version: 4
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 10.28
[XMP, XMP-dc, Author] contributor - Contributor: Guess who
[Ducky, Ducky, Image] 1 - Quality: 50%
[Composite, Composite, Image] ImageSize - Image Size: 8x8
[Composite, Composite, Image] Megapixels - Megapixels: 0.000064
