[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.14
[File, System, Image] FileName - File Name: APE.ape
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 2.1 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:11:14 11:04:22-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:03:17 12:47:01-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:03:12 14:39:00-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: APE
[File, File, Image] FileTypeExtension - File Type Extension: ape
[File, File, Image] MIMEType - MIME Type: audio/x-monkeys-audio
[APE, MAC, Audio] 0 - Compression Level: 3000
[APE, MAC, Audio] 2 - Blocks Per Frame: 73728
[APE, MAC, Audio] 4 - Final Frame Blocks: 42662
[APE, MAC, Audio] 6 - Total Frames: 2
[APE, MAC, Audio] 8 - Bits Per Sample: 16
[APE, MAC, Audio] 9 - Channels: 2
[APE, MAC, Audio] 10 - Sample Rate: 44100
[APE, APE, Audio] Track - Track: 4
[APE, APE, Audio] Year - Year: 2005
[APE, APE, Audio] Genre - Genre: Electronic
[APE, APE, Audio] Artist - Artist: Kraftwerk
[APE, APE, Audio] Album - Album: Cover Art Test
[APE, APE, Audio] Tool Version - Tool Version: 11.1.102
[APE, APE, Audio] Tool Name - Tool Name: Media Center
[APE, APE, Audio] Title - Title: Men Machine Live
[APE, APE, Audio] Media Jukebox: Date - Media Jukebox Date: 38353
[APE, APE, Audio] Cover Art (front) Desc - Cover Art Front Desc: X:\_kuvat\Kraftwerk - Cover Art Test.jpg
[APE, APE, Preview] Cover Art (front) - Cover Art Front: (Binary data 1761 bytes)
[Composite, Composite, Audio] Duration - Duration: 2.64 s
