[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.03
[File, System, Other] FileName - File Name: Red.r3d
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 1160 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2018:01:26 14:40:32-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:07:29 09:04:19-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2018:01:26 14:40:32-05:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: R3D
[File, File, Other] FileTypeExtension - File Type Extension: r3d
[File, File, Other] MIMEType - MIME Type: video/x-red-r3d
[Red, Red, Video] 7 - Redcode Version: 2
[Red, Red, Video] 76 - Image Width: 5120
[Red, Red, Video] 80 - Image Height: 2560
[Red, Red, Video] 86 - Frame Rate: 23.976
[Red, Red, Camera] 4096 - Start Edge Code: 01:49:54:11
[Red, Red, Time] 4097 - Start Timecode: 21:36:16:18
[Red, Red, Camera] 4102 - Serial Number: 130-246-CE5
[Red, Red, Camera] 8205 - Color Temperature: 4800
[Red, Red, Camera] 4121 - Camera Type: A
[Red, Red, Video] 4122 - Reel Number: 106
[Red, Red, Video] 4123 - Take: 037
[Red, Red, Time] 4131 - Date Created: 2016:01:18
[Red, Red, Time] 4132 - Time Created: 21:35:55
[Red, Red, Camera] 4133 - Firmware Version: 6.2.34
[Red, Red, Camera] 4138 - Storage Type: RED 512GB V4
[Red, Red, Camera] 4146 - Storage Serial Number: 15240FC80DE7
[Red, Red, Time] 4144 - Storage Format Date: 2016:01:18
[Red, Red, Time] 4145 - Storage Format Time: 21:35:55
[Red, Red, Camera] 16439 - Crop Area: 0 0 5120 2560
[Red, Red, Camera] 16443 - ISO: 1280
[Red, Red, Video] 4230 - Video Format: 5K 2:1
[Red, Red, Camera] 8267 - RGB Curves: 0 0 0.25 0.25 0.5 0.5 0.75 0.75 1 1 0 0 0.25 0.25 0.5 0.5 0.75 0.75 1 1 0 0 0.25 0.25 0.5 0.5 0.75 0.75 1 1
[Red, Red, Camera] 4182 - Original File Name: A106_C037_0118G5_002.R3D
[Red, Red, Video] 8294 - Original Frame Rate: 23.976
[Red, Red, Camera] 16490 - F Number: 4.9
[Red, Red, Camera] 16491 - Focal Length: 24
[Red, Red, Camera] 24684 - Focus Distance: -0.001 m
[Red, Red, Camera] 4209 - Camera Model Name: S-WEAPON
[Red, Red, Camera] 4246 - Filter: STANDARD
[Composite, Composite, Image] Exif-Aperture - Aperture: 4.9
[Composite, Composite, Time] Exif-DateTimeOriginal - Date/Time Original: 2016:01:18 21:35:55
[Composite, Composite, Image] Exif-ImageSize - Image Size: 5120x2560
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 13.1
[Composite, Composite, Camera] Exif-FocalLength35efl - Focal Length: 24.0 mm
