[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.38
[File, System, Image] FileName - File Name: Casio_5_failed.jpg
[File, System, Image] Directory - Directory: t
[File, System, Image] FileSize - File Size: 1203 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2016:12:30 10:42:24-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:12:30 10:42:24-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:12:30 10:42:24-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: JPEG
[File, File, Image] FileTypeExtension - File Type Extension: jpg
[File, File, Image] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Camera] 271 - Make: CASIO
[EXIF, IFD0, Camera] 272 - Camera Model Name: QV-3000EX
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: Ver1.000
[EXIF, IFD0, Time] 306 - Modify Date: 2000:03:31 10:44:15
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/114
[EXIF, ExifIFD, Image] 33437 - F Number: 2.0
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0210
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2000:03:31 10:44:15
[EXIF, ExifIFD, Time] 36868 - Create Date: 2000:03:31 10:44:15
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37122 - Compressed Bits Per Pixel: 3.645833333
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 4.0
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37385 - Flash: No Flash
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 13.3 mm
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 2048
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 1536
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98 - DCF basic file (sRGB)
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 926
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[EXIF, IFD1, Preview] ThumbnailImage - Thumbnail Image: (Binary data 28 bytes)
[MakerNotes, Casio, Camera] 1 - Recording Mode: Single Shutter
[MakerNotes, Casio, Camera] 2 - Quality: Fine
[MakerNotes, Casio, Camera] 3 - Focus Mode: Macro
[MakerNotes, Casio, Camera] 4 - Flash Mode: Red-eye Reduction
[MakerNotes, Casio, Camera] 5 - Flash Intensity: Normal
[MakerNotes, Casio, Camera] 6 - Object Distance: 2.5 m
[MakerNotes, Casio, Camera] 7 - White Balance: Auto
[MakerNotes, Casio, Camera] 8 - Casio 0x0008: 1
[MakerNotes, Casio, Camera] 9 - Casio 0x0009: 1
[MakerNotes, Casio, Camera] 10 - Digital Zoom: Off
[MakerNotes, Casio, Camera] 11 - Sharpness: Normal
[MakerNotes, Casio, Camera] 12 - Contrast: Normal
[MakerNotes, Casio, Camera] 13 - Saturation: Normal
[MakerNotes, Casio, Camera] 14 - Casio 0x000e: 0
[MakerNotes, Casio, Camera] 15 - Casio 0x000f: 0
[MakerNotes, Casio, Camera] 16 - Casio 0x0010: 0
[MakerNotes, Casio, Camera] 17 - Casio 0x0011: 8126553
[MakerNotes, Casio, Camera] 18 - Casio 0x0012: 16
[MakerNotes, Casio, Camera] 19 - Casio 0x0013: 16
[MakerNotes, Casio, Camera] 20 - ISO: 64
[Composite, Composite, Image] Aperture - Aperture: 2.0
[Composite, Composite, Image] ImageSize - Image Size: 8x8
[Composite, Composite, Image] Megapixels - Megapixels: 0.000064
[Composite, Composite, Image] ShutterSpeed - Shutter Speed: 1/114
[Composite, Composite, Image] LightValue - Light Value: 9.5
[Composite, Composite, Camera] FocalLength35efl - Focal Length: 13.3 mm
