[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.23
[File, System, Image] FileName - File Name: Opus.opus
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 1128 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2016:07:14 08:20:19-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:07:14 09:36:15-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:07:14 09:27:41-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: OPUS
[File, File, Image] FileTypeExtension - File Type Extension: opus
[File, File, Image] MIMEType - MIME Type: audio/ogg
[Opus, Opus, Audio] 0 - Opus Version: 1
[Opus, Opus, Audio] 1 - Audio Channels: 1
[Opus, Opus, Audio] 4 - Sample Rate: 7872
[Opus, Opus, Audio] 8 - Output Gain: 1
[Vorbis, Vorbis, Audio] vendor - Vendor: libopus 1.1
[Vorbis, Vorbis, Audio] ENCODER - Encoder: opusenc from opus-tools 0.1.9
[FLAC, FLAC, Image] 0 - Picture Type: Front Cover
[FLAC, FLAC, Image] 1 - Picture MIME Type: image/png
[FLAC, FLAC, Image] 2 - Picture Description: cover pic
[FLAC, FLAC, Image] 3 - Picture Width: 16
[FLAC, FLAC, Image] 4 - Picture Height: 16
[FLAC, FLAC, Image] 5 - Picture Bits Per Pixel: 1
[FLAC, FLAC, Image] 6 - Picture Indexed Colors: 0
[FLAC, FLAC, Image] 7 - Picture Length: 85
[FLAC, FLAC, Preview] 8 - Picture: (Binary data 85 bytes)
