[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.56
[File, System, Other] FileName - File Name: InfiRay.jpg
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 2.2 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2023:02:09 10:42:51-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2023:02:09 10:42:52-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2023:02:09 10:42:51-05:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Image] 256 - Image Width: 720
[EXIF, IFD0, Camera] 272 - Camera Model Name: P2_USB_IR
[EXIF, IFD0, Image] 257 - Image Height: 960
[EXIF, IFD0, Camera] 271 - Make: Infisense
[EXIF, ExifIFD, Camera] 37384 - Light Source: Unknown
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Time] 306 - Modify Date: 2023:02:08 12:24:35
[EXIF, GPS, Location] 2 - GPS Latitude: 
[EXIF, GPS, Location] 6 - GPS Altitude: undef
[EXIF, GPS, Location] 1 - GPS Latitude Ref: Unknown ()
[EXIF, GPS, Location] 13 - GPS Speed: undef
[EXIF, GPS, Location] 27 - GPS Processing Method: 
[EXIF, GPS, Location] 5 - GPS Altitude Ref: Above Sea Level
[EXIF, GPS, Location] 12 - GPS Speed Ref: Unknown ()
[EXIF, GPS, Location] 3 - GPS Longitude Ref: Unknown ()
[EXIF, GPS, Time] 7 - GPS Time Stamp: 00:00:00
[EXIF, GPS, Location] 4 - GPS Longitude: 
[EXIF, GPS, Time] 29 - GPS Date Stamp: 
[APP2, InfiRay, Image] 0 - IJPEG Version: 0 2 0 1
[APP2, InfiRay, Image] 12 - IJPEG Org Type: 4
[APP2, InfiRay, Image] 13 - IJPEG Disp Type: 1
[APP2, InfiRay, Image] 14 - IJPEG Rotate: 0
[APP2, InfiRay, Image] 15 - IJPEG Mirror Flip: 0
[APP2, InfiRay, Image] 16 - Image Color Switchable: 1
[APP2, InfiRay, Image] 17 - Thermal Color Palette: 3
[APP2, InfiRay, Image] 32 - IR Data Size: 98304
[APP2, InfiRay, Image] 40 - IR Data Format: 0
[APP2, InfiRay, Image] 42 - IR Image Width: 256
[APP2, InfiRay, Image] 44 - IR Image Height: 384
[APP2, InfiRay, Image] 46 - IR Image Bpp: 8
[APP2, InfiRay, Image] 48 - Temp Data Size: 98304
[APP2, InfiRay, Image] 56 - Temp Data Format: 0
[APP2, InfiRay, Image] 58 - Temp Image Width: 256
[APP2, InfiRay, Image] 60 - Temp Image Height: 384
[APP2, InfiRay, Image] 62 - Temp Image Bpp: 8
[APP2, InfiRay, Image] 64 - Visible Data Size: 98304
[APP2, InfiRay, Image] 72 - Visible Data Format: 0
[APP2, InfiRay, Image] 74 - Visible Image Width: 0
[APP2, InfiRay, Image] 76 - Visible Image Height: 0
[APP2, InfiRay, Image] 78 - Visible Image Bpp: 8
[APP3, InfiRay, Image] APP3 - Imaging Data: (Binary data 20 bytes)
[APP4, InfiRay, Image] 0 - IJPEG Temp Version: 0 1 0 0
[APP4, InfiRay, Image] 4 - Fact Def Emissivity: -128
[APP4, InfiRay, Image] 5 - Fact Def Tau: -128
[APP4, InfiRay, Image] 6 - Fact Def Ta: 300
[APP4, InfiRay, Image] 8 - Fact Def Tu: 300
[APP4, InfiRay, Image] 10 - Fact Def Dist: 32
[APP4, InfiRay, Image] 12 - Fact Def A0: 0
[APP4, InfiRay, Image] 16 - Fact Def B0: 0
[APP4, InfiRay, Image] 20 - Fact Def A1: 0
