[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.15
[File, System, Image] FileName - File Name: PDF.pdf
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 8.7 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2009:07:23 11:38:00-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:04:12 08:45:21-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:04:11 08:27:33-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: PDF
[File, File, Image] FileTypeExtension - File Type Extension: pdf
[File, File, Image] MIMEType - MIME Type: application/pdf
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[PDF, PDF, Document] Version - PDF Version: 1.3
[PDF, PDF, Document] _linearized - Linearized: No
[PDF, PDF, Document] Creator - Creator: Adobe Photoshop 7.0
[PDF, PDF, Time] CreationDate - Create Date: 2005:07:18 14:30:45-04:00
[PDF, PDF, Time] ModDate - Modify Date: 2005:07:18 14:30:45-04:00
[PDF, PDF, Document] Producer - Producer: Adobe Photoshop for Macintosh
[PDF, PDF, Document] Count - Page Count: 1
[IPTC, IPTC, Other] 0 - Application Record Version: 2
[IPTC, IPTC, Other] 120 - Caption-Abstract: A witty caption
[IPTC, IPTC, Author] 122 - Writer-Editor: I wrote it
[IPTC, IPTC, Other] 105 - Headline: No headline
[IPTC, IPTC, Other] 40 - Special Instructions: What instructions
[IPTC, IPTC, Author] 80 - By-line: Phil Harvey
[IPTC, IPTC, Author] 85 - By-line Title: My Position
[IPTC, IPTC, Author] 110 - Credit: My Credit
[IPTC, IPTC, Author] 115 - Source: I'm the source
[IPTC, IPTC, Other] 5 - Object Name: Test IPTC picture
[IPTC, IPTC, Time] 55 - Date Created: 2004:02:26
[IPTC, IPTC, Location] 90 - City: Kingston
[IPTC, IPTC, Location] 95 - Province-State: Ont
[IPTC, IPTC, Location] 101 - Country-Primary Location Name: Canada
[IPTC, IPTC, Other] 103 - Original Transmission Reference: What is a transmission reference
[IPTC, IPTC, Other] 15 - Category: 1
[IPTC, IPTC, Other] 20 - Supplemental Categories: amazing, image, utilities
[IPTC, IPTC, Other] 10 - Urgency: 8 (least urgent)
[IPTC, IPTC, Other] 25 - Keywords: ExifTool, Test, XMP
[IPTC, IPTC, Author] 116 - Copyright Notice: Copyright 2004 Phil Harvey
[Photoshop, Photoshop, Image] 1061 - IPTC Digest: 9e02efbd9bdc1dc192279e30a0e27323
[Photoshop, Photoshop, Image] 0 - X Resolution: 72
[Photoshop, Photoshop, Image] 2 - Displayed Units X: inches
[Photoshop, Photoshop, Image] 4 - Y Resolution: 72
[Photoshop, Photoshop, Image] 6 - Displayed Units Y: inches
[Photoshop, Photoshop, Image] 0 - Print Style: Centered
[Photoshop, Photoshop, Image] 2 - Print Position: 0 0
[Photoshop, Photoshop, Image] 10 - Print Scale: 1
[Photoshop, Photoshop, Image] 1037 - Global Angle: 30
[Photoshop, Photoshop, Image] 1049 - Global Altitude: 30
[Photoshop, Photoshop, Author] 1035 - URL: http://owl.phy.queensu.ca/~phil/exiftool/
[Photoshop, Photoshop, Image] 1054 - URL List: 
[Photoshop, Photoshop, Other] 20 - Slices Group Name: a
[Photoshop, Photoshop, Other] 24 - Num Slices: 1
[Photoshop, Photoshop, Image] 4 - Has Real Merged Data: Yes
[Photoshop, Photoshop, Image] 5 - Writer Name: Adobe Photoshop
[Photoshop, Photoshop, Image] 9 - Reader Name: Adobe Photoshop 7.0
[EXIF, IFD0, Image] 270 - Image Description: A witty caption
[EXIF, IFD0, Camera] 271 - Make: FUJIFILM
[EXIF, IFD0, Camera] 272 - Camera Model Name: FinePix2400Zoom
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: Adobe Photoshop 7.0
[EXIF, IFD0, Time] 306 - Modify Date: 2005:07:18 14:30:45
[EXIF, IFD0, Author] 315 - Artist: Phil Harvey
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, IFD0, Author] 33432 - Copyright: Copyright 2004 Phil Harvey
[EXIF, ExifIFD, Image] 33437 - F Number: 3.5
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 34855 - ISO: 100
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0210
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2001:05:19 18:36:41
[EXIF, ExifIFD, Time] 36868 - Create Date: 2001:05:19 18:36:41
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37122 - Compressed Bits Per Pixel: 1.230769231
[EXIF, ExifIFD, Image] 37377 - Shutter Speed Value: 1/64
[EXIF, ExifIFD, Image] 37378 - Aperture Value: 3.5
[EXIF, ExifIFD, Image] 37379 - Brightness Value: 2
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 3.5
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37385 - Flash: Fired
[EXIF, ExifIFD, Image] 37389 - Noise: 6
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 8
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 8
[EXIF, ExifIFD, Camera] 41486 - Focal Plane X Resolution: 3053
[EXIF, ExifIFD, Camera] 41487 - Focal Plane Y Resolution: 3053
[EXIF, ExifIFD, Camera] 41488 - Focal Plane Resolution Unit: cm
[EXIF, ExifIFD, Camera] 41495 - Sensing Method: One-chip color area
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 842
[EXIF, IFD1, Image] 514 - Thumbnail Length: 0
[XMP, XMP-x, Document] xmptk - XMP Toolkit: XMP toolkit 2.8.2-33, framework 1.5
[XMP, XMP-rdf, Document] about - About: uuid:b691db33-f92a-11d9-99a4-8c8e8269c120
[XMP, XMP-photoshop, Author] AuthorsPosition - Authors Position: My Position
[XMP, XMP-photoshop, Author] CaptionWriter - Caption Writer: I wrote it
[XMP, XMP-photoshop, Image] Category - Category: 1
[XMP, XMP-photoshop, Location] City - City: Kingston
[XMP, XMP-photoshop, Location] Country - Country: Canada
[XMP, XMP-photoshop, Author] Credit - Credit: My Credit
[XMP, XMP-photoshop, Time] DateCreated - Date Created: 2004:02:26
[XMP, XMP-photoshop, Image] Headline - Headline: No headline
[XMP, XMP-photoshop, Image] Instructions - Instructions: What instructions
[XMP, XMP-photoshop, Author] Source - Source: I'm the source
[XMP, XMP-photoshop, Location] State - State: Ont
[XMP, XMP-photoshop, Image] TransmissionReference - Transmission Reference: What is a transmission reference
[XMP, XMP-photoshop, Image] Urgency - Urgency: 8 (least urgent)
[XMP, XMP-photoshop, Image] SupplementalCategories - Supplemental Categories: amazing, image, utilities
[XMP, XMP-xmpBJ, Other] JobRefName - Job Ref Name: My Job
[XMP, XMP-xmpMM, Other] DocumentID - Document ID: adobe:docid:photoshop:cbcc2a62-f127-11d9-ac4d-e8be6f73552e
[XMP, XMP-xmpRights, Author] WebStatement - Web Statement: http://owl.phy.queensu.ca/~phil/exiftool/
[XMP, XMP-dc, Author] creator - Creator: Phil Harvey
[XMP, XMP-dc, Image] description - Description: A witty caption
[XMP, XMP-dc, Author] rights - Rights: Copyright 2004 Phil Harvey
[XMP, XMP-dc, Image] title - Title: Test IPTC picture
[XMP, XMP-dc, Image] subject - Subject: ExifTool, Test, XMP
[Composite, Composite, Image] Aperture - Aperture: 3.5
[Composite, Composite, Image] ShutterSpeed - Shutter Speed: 1/64
[Composite, Composite, Image] LightValue - Light Value: 9.6
