[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.96
[File, System, Image] FileName - File Name: CanonVRD_11_failed.vrd
[File, System, Image] Directory - Directory: t
[File, System, Image] FileSize - File Size: 4.5 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2015:05:19 10:17:08-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2015:05:19 10:17:08-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:05:19 10:17:08-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: VRD
[File, File, Image] FileTypeExtension - File Type Extension: vrd
[File, File, Image] MIMEType - MIME Type: application/unknown
[CanonVRD, CanonVRD, Image] 2 - VRD Version: 2.0.0
[CanonVRD, CanonVRD, Image] 6 - WB Adj RGGB Levels: 1856 832 832 928
[CanonVRD, CanonVRD, Image] 24 - White Balance Adj: Manual (Click)
[CanonVRD, CanonVRD, Image] 26 - WB Adj Color Temp: 5600
[CanonVRD, CanonVRD, Image] 36 - WB Fine Tune Active: Yes
[CanonVRD, CanonVRD, Image] 40 - WB Fine Tune Saturation: 0
[CanonVRD, CanonVRD, Image] 44 - WB Fine Tune Tone: 358
[CanonVRD, CanonVRD, Image] 46 - Raw Color Adj: Shot Settings
[CanonVRD, CanonVRD, Image] 48 - Raw Custom Saturation: 0
[CanonVRD, CanonVRD, Image] 52 - Raw Custom Tone: 0
[CanonVRD, CanonVRD, Image] 56 - Raw Brightness Adj: -0.83
[CanonVRD, CanonVRD, Image] 60 - Tone Curve Property: Shot Settings
[CanonVRD, CanonVRD, Image] 122 - Dynamic Range Min: 0
[CanonVRD, CanonVRD, Image] 124 - Dynamic Range Max: 4095
[CanonVRD, CanonVRD, Image] 272 - Tone Curve Active: Yes
[CanonVRD, CanonVRD, Image] 275 - Tone Curve Mode: RGB
[CanonVRD, CanonVRD, Image] 276 - Brightness Adj: 0
[CanonVRD, CanonVRD, Image] 277 - Contrast Adj: 0
[CanonVRD, CanonVRD, Image] 278 - Saturation Adj: 119
[CanonVRD, CanonVRD, Image] 286 - Color Tone Adj: 0
[CanonVRD, CanonVRD, Image] 294 - Luminance Curve Points: (0,0) (255,255)
[CanonVRD, CanonVRD, Image] 336 - Luminance Curve Limits: 255 0 255 0
[CanonVRD, CanonVRD, Image] 345 - Tone Curve Interpolation: Curve
[CanonVRD, CanonVRD, Image] 352 - Red Curve Points: (0,0) (5,16) (11,30) (58,101) (106,154) (154,198) (202,233) (228,246) (255,255)
[CanonVRD, CanonVRD, Image] 394 - Red Curve Limits: 255 0 255 0
[CanonVRD, CanonVRD, Image] 410 - Green Curve Points: (7,4) (11,23) (16,34) (59,100) (104,147) (149,187) (196,219) (221,232) (248,240)
[CanonVRD, CanonVRD, Image] 452 - Green Curve Limits: 248 7 240 4
[CanonVRD, CanonVRD, Image] 468 - Blue Curve Points: (0,0) (5,19) (10,32) (57,104) (104,156) (152,199) (200,233) (227,247) (255,255)
[CanonVRD, CanonVRD, Image] 510 - Blue Curve Limits: 255 0 255 0
[CanonVRD, CanonVRD, Image] 526 - RGB Curve Points: (0,0) (255,255)
[CanonVRD, CanonVRD, Image] 568 - RGB Curve Limits: 255 0 255 0
[CanonVRD, CanonVRD, Image] 580 - Crop Active: Yes
[CanonVRD, CanonVRD, Image] 582 - Crop Left: 1164
[CanonVRD, CanonVRD, Image] 584 - Crop Top: 608
[CanonVRD, CanonVRD, Image] 586 - Crop Width: 564
[CanonVRD, CanonVRD, Image] 588 - Crop Height: 123
[CanonVRD, CanonVRD, Image] 602 - Sharpness Adj: 0
[CanonVRD, CanonVRD, Image] 608 - Crop Aspect Ratio: Free
[CanonVRD, CanonVRD, Image] 610 - Constrained Crop Width: 5.5
[CanonVRD, CanonVRD, Image] 614 - Constrained Crop Height: 1.2
[CanonVRD, CanonVRD, Image] 618 - Check Mark: 3
[CanonVRD, CanonVRD, Image] 622 - Rotation: 0
[CanonVRD, CanonVRD, Image] 624 - Work Color Space: ColorMatch RGB
[CanonVRD, CanonVRD, Image] 2 - Picture Style: Standard
[CanonVRD, CanonVRD, Image] 3 - Is Custom Picture Style: No
[CanonVRD, CanonVRD, Image] 13 - Standard Raw Color Tone: -4
[CanonVRD, CanonVRD, Image] 14 - Standard Raw Saturation: 0
[CanonVRD, CanonVRD, Image] 15 - Standard Raw Contrast: 0
[CanonVRD, CanonVRD, Image] 16 - Standard Raw Linear: No
[CanonVRD, CanonVRD, Image] 17 - Standard Raw Sharpness: 1
[CanonVRD, CanonVRD, Image] 18 - Standard Raw Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 19 - Standard Raw Shadow Point: 0
[CanonVRD, CanonVRD, Image] 20 - Standard Output Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 21 - Standard Output Shadow Point: 0
[CanonVRD, CanonVRD, Image] 22 - Portrait Raw Color Tone: 4
[CanonVRD, CanonVRD, Image] 23 - Portrait Raw Saturation: 2
[CanonVRD, CanonVRD, Image] 24 - Portrait Raw Contrast: 0
[CanonVRD, CanonVRD, Image] 25 - Portrait Raw Linear: No
[CanonVRD, CanonVRD, Image] 26 - Portrait Raw Sharpness: 7
[CanonVRD, CanonVRD, Image] 27 - Portrait Raw Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 28 - Portrait Raw Shadow Point: 6
[CanonVRD, CanonVRD, Image] 29 - Portrait Output Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 30 - Portrait Output Shadow Point: 0
[CanonVRD, CanonVRD, Image] 31 - Landscape Raw Color Tone: 4
[CanonVRD, CanonVRD, Image] 32 - Landscape Raw Saturation: 2
[CanonVRD, CanonVRD, Image] 33 - Landscape Raw Contrast: 0
[CanonVRD, CanonVRD, Image] 34 - Landscape Raw Linear: No
[CanonVRD, CanonVRD, Image] 35 - Landscape Raw Sharpness: 7
[CanonVRD, CanonVRD, Image] 36 - Landscape Raw Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 37 - Landscape Raw Shadow Point: 6
[CanonVRD, CanonVRD, Image] 38 - Landscape Output Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 39 - Landscape Output Shadow Point: 0
[CanonVRD, CanonVRD, Image] 40 - Neutral Raw Color Tone: 4
[CanonVRD, CanonVRD, Image] 41 - Neutral Raw Saturation: 2
[CanonVRD, CanonVRD, Image] 42 - Neutral Raw Contrast: 0
[CanonVRD, CanonVRD, Image] 43 - Neutral Raw Linear: No
[CanonVRD, CanonVRD, Image] 44 - Neutral Raw Sharpness: 7
[CanonVRD, CanonVRD, Image] 45 - Neutral Raw Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 46 - Neutral Raw Shadow Point: 6
[CanonVRD, CanonVRD, Image] 47 - Neutral Output Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 48 - Neutral Output Shadow Point: 0
[CanonVRD, CanonVRD, Image] 49 - Faithful Raw Color Tone: 4
[CanonVRD, CanonVRD, Image] 50 - Faithful Raw Saturation: 2
[CanonVRD, CanonVRD, Image] 51 - Faithful Raw Contrast: 0
[CanonVRD, CanonVRD, Image] 52 - Faithful Raw Linear: No
[CanonVRD, CanonVRD, Image] 53 - Faithful Raw Sharpness: 7
[CanonVRD, CanonVRD, Image] 54 - Faithful Raw Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 55 - Faithful Raw Shadow Point: 6
[CanonVRD, CanonVRD, Image] 56 - Faithful Output Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 57 - Faithful Output Shadow Point: 0
[CanonVRD, CanonVRD, Image] 58 - Monochrome Filter Effect: Yellow
[CanonVRD, CanonVRD, Image] 59 - Monochrome Toning Effect: Purple
[CanonVRD, CanonVRD, Image] 60 - Monochrome Contrast: 3
[CanonVRD, CanonVRD, Image] 61 - Monochrome Linear: No
[CanonVRD, CanonVRD, Image] 62 - Monochrome Sharpness: 4
[CanonVRD, CanonVRD, Image] 63 - Monochrome Raw Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 64 - Monochrome Raw Shadow Point: 0
[CanonVRD, CanonVRD, Image] 65 - Monochrome Output Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 66 - Monochrome Output Shadow Point: 0
[CanonVRD, CanonVRD, Image] 76 - Custom Color Tone: 4
[CanonVRD, CanonVRD, Image] 77 - Custom Saturation: 2
[CanonVRD, CanonVRD, Image] 78 - Custom Contrast: 0
[CanonVRD, CanonVRD, Image] 79 - Custom Linear: No
[CanonVRD, CanonVRD, Image] 80 - Custom Sharpness: 7
[CanonVRD, CanonVRD, Image] 81 - Custom Raw Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 82 - Custom Raw Shadow Point: 6
[CanonVRD, CanonVRD, Image] 83 - Custom Output Highlight Point: 4095
[CanonVRD, CanonVRD, Image] 84 - Custom Output Shadow Point: 0
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 9.96
[XMP, XMP-dc, Image] title - Title: XMP in VRD test
