[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.03
[File, System, Other] FileName - File Name: PSP.psp
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 1703 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2010:01:28 11:15:22-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:07:29 09:04:19-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2017:12:27 12:00:59-05:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: PSP
[File, File, Other] FileTypeExtension - File Type Extension: psp
[File, File, Other] MIMEType - MIME Type: image/x-paintshoppro
[PSP, PSP, Image] FileVersion - File Version: 10.0
[PSP, PSP, Image] 0 - Image Width: 8
[PSP, PSP, Image] 4 - Image Height: 8
[PSP, PSP, Image] 8 - Image Resolution: 200
[PSP, PSP, Image] 16 - Resolution Unit: inches
[PSP, PSP, Image] 17 - Compression: LZ77
[PSP, PSP, Image] 19 - Bits Per Sample: 24
[PSP, PSP, Image] 21 - Planes: 1
[PSP, PSP, Image] 23 - Num Colors: 16777216
[PSP, PSP, Image] 0 - Title: Test Image
[PSP, PSP, Time] 1 - Create Date: 2010:01:28 09:23:21-05:00
[PSP, PSP, Time] 2 - Modify Date: 2010:01:28 09:30:26-05:00
[PSP, PSP, Author] 3 - Artist: Phil Harvey
[PSP, PSP, Author] 4 - Copyright: © 2010 Phil Harvey
[PSP, PSP, Image] 5 - Description: A description
[PSP, PSP, Image] 6 - Creator App ID: Paint Shop Pro
[PSP, PSP, Image] 7 - Creator App Version: 13.0.0.0
[EXIF, IFD0, Author] 33432 - Copyright: © 2010 Phil Harvey
[EXIF, IFD0, Image] 282 - X Resolution: 200
[EXIF, IFD0, Image] 283 - Y Resolution: 200
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[Composite, Composite, Image] Exif-ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000064
