[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.93
[File, System, Image] FileName - File Name: Font.pfa
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 1559 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2010:01:18 14:10:30-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2015:04:18 07:17:35-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:03:07 15:31:15-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: PFA
[File, File, Image] FileTypeExtension - File Type Extension: pfa
[File, File, Image] MIMEType - MIME Type: application/x-font-type1
[File, File, Image] Comment - Comment: 1;% 2004-2-16: Created.;Generated by FontForge 20040531 (http://fontforge.sf.net/)
[PostScript, PostScript, Image] Title - Title: YehudaCLM-Bold
[PostScript, PostScript, Time] CreationDate - Create Date: Sat Jun 12 19:16:03 2004
[PostScript, PostScript, Image] Creator - Creator: Maxim Iorsh
[Font, Font, Document] FontType - Font Type: 1
[Font, Font, Document] FontName - Font Name: YehudaCLM-Bold
[Font, Font, Document] version - Version: 0.100
[Font, Font, Author] Notice - Notice: Copyright .51 2004 by Maxim Iorsh (iorsh@math.technion.ac.il). Distributed under the terms of GNU General Public License version 2(http://www.gnu.org/licenses/gpl.html). ;All rights reserved.
[Font, Font, Document] FullName - Full Name: Yehuda CLM Bold
[Font, Font, Document] FamilyName - Font Family: Yehuda CLM
[Font, Font, Document] Weight - Weight: Bold
[Font, Font, Document] FSType - FS Type: 0
[Font, Font, Document] ItalicAngle - Italic Angle: 0
[Font, Font, Document] isFixedPitch - Is Fixed Pitch: false
[Font, Font, Document] UnderlinePosition - Underline Position: -100
[Font, Font, Document] UnderlineThickness - Underline Thickness: 50
