[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.03
[File, System, Other] FileName - File Name: AIFF.aif
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 290 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:01:06 15:05:23-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:07:29 09:03:59-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2017:12:27 12:00:59-05:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: AIFF
[File, File, Other] FileTypeExtension - File Type Extension: aiff
[File, File, Other] MIMEType - MIME Type: audio/x-aiff
[File, File, Image] ID3Size - ID3 Size: 172
[AIFF, AIFF, Time] 0 - Comment Time: 2004:03:08 05:28:46
[AIFF, AIFF, Audio] 2 - Comment: ding.wav
[AIFF, AIFF, Audio] 0 - Num Channels: 1
[AIFF, AIFF, Audio] 1 - Num Sample Frames: 11554
[AIFF, AIFF, Audio] 3 - Sample Size: 8
[AIFF, AIFF, Audio] 4 - Sample Rate: 22050
[AIFF, AIFF, Audio] NAME - Name: ExifTool test AIFF
[AIFF, AIFF, Author] AUTH - Author: Phil Harvey
[ID3, ID3v2_2, Audio] ULT - Lyrics: my lyrics
[ID3, ID3v2_2, Audio] TCM - Composer: Composer
[ID3, ID3v2_2, Audio] COM - Comment: comments
[ID3, ID3v2_2, Author] TP1 - Artist: the artist
[ID3, ID3v2_2, Audio] TAL - Album: the album
[ID3, ID3v2_2, Audio] TT1 - Grouping: grouping
[ID3, ID3v2_2, Audio] TRK - Track: 1
[ID3, ID3v2_2, Audio] TPA - Part Of Set: 1/1
[ID3, ID3v2_2, Time] TYE - Year: 2006
[ID3, ID3v2_2, Audio] TCO - Genre: Techno
[ID3, ID3v2_2, Audio] TCP - Compilation: Yes
[Composite, Composite, Other] AIFF-Duration - Duration: 0.52 s
[Composite, Composite, Time] ID3-DateTimeOriginal - Date/Time Original: 2006
