[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.93
[File, File, Image] FileType - File Type: MOI
[File, File, Image] FileTypeExtension - File Type Extension: moi
[File, File, Image] MIMEType - MIME Type: application/unknown
[MOI, MOI, Video] 0 - MOI Version: V6
[MOI, MOI, Time] 6 - Date Time Original: 2011:05:15 17:58:48.000
[MOI, MOI, Video] 14 - Duration: 8.16 s
[MOI, MOI, Video] 128 - Aspect Ratio: 4:3 PAL
[MOI, MOI, Audio] 132 - Audio Codec: AC3
[MOI, MOI, Audio] 134 - Audio Bitrate: 224 kbps
[MOI, MOI, Video] 218 - Video Bitrate: 8.5 Mbps
