[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.15
[File, System, Image] FileName - File Name: IPTC.jpg
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 9.6 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2011:01:03 13:24:03-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:04:12 08:49:19-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:04:11 08:27:33-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: JPEG
[File, File, Image] FileTypeExtension - File Type Extension: jpg
[File, File, Image] MIMEType - MIME Type: image/jpeg
[File, File, Image] CurrentIPTCDigest - Current IPTC Digest: 3ab612778f9944a999853a0cf0cf6b37
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[JFIF, JFIF, Image] 0 - JFIF Version: 1.02
[JFIF, JFIF, Image] 2 - Resolution Unit: inches
[JFIF, JFIF, Image] 3 - X Resolution: 72
[JFIF, JFIF, Image] 5 - Y Resolution: 72
[IPTC, IPTC, Other] 0 - Application Record Version: 2
[IPTC, IPTC, Other] 120 - Caption-Abstract: A witty caption
[IPTC, IPTC, Author] 122 - Writer-Editor: I wrote it
[IPTC, IPTC, Other] 105 - Headline: No headline
[IPTC, IPTC, Other] 40 - Special Instructions: What instructions
[IPTC, IPTC, Author] 80 - By-line: Phil Harvey
[IPTC, IPTC, Author] 85 - By-line Title: My Position
[IPTC, IPTC, Author] 110 - Credit: My Credit
[IPTC, IPTC, Other] 5 - Object Name: Test IPTC picture
[IPTC, IPTC, Time] 55 - Date Created: 2004:02:26
[IPTC, IPTC, Location] 90 - City: Kingston
[IPTC, IPTC, Location] 95 - Province-State: Ont
[IPTC, IPTC, Location] 101 - Country-Primary Location Name: Canada
[IPTC, IPTC, Other] 103 - Original Transmission Reference: What is a transmission reference
[IPTC, IPTC, Other] 15 - Category: 1
[IPTC, IPTC, Other] 20 - Supplemental Categories: amazing, image, utilities
[IPTC, IPTC, Other] 25 - Keywords: ExifTool, Test, IPTC
[IPTC, IPTC, Author] 116 - Copyright Notice: Copyright 2004 Phil Harvey
[IPTC, IPTC, Other] 10 - Urgency: 8 (least urgent)
[IPTC, IPTC, Author] 115 - Source: I'm the source
[Photoshop, Photoshop, Image] 1061 - IPTC Digest: 05ad1770b1a95f1f9788ac995fa647da
[Photoshop, Photoshop, Image] 0 - X Resolution: 72
[Photoshop, Photoshop, Image] 2 - Displayed Units X: inches
[Photoshop, Photoshop, Image] 4 - Y Resolution: 72
[Photoshop, Photoshop, Image] 6 - Displayed Units Y: inches
[Photoshop, Photoshop, Image] 0 - Print Style: Centered
[Photoshop, Photoshop, Image] 2 - Print Position: 0 0
[Photoshop, Photoshop, Image] 10 - Print Scale: 1
[Photoshop, Photoshop, Image] 1037 - Global Angle: 30
[Photoshop, Photoshop, Image] 1049 - Global Altitude: 30
[Photoshop, Photoshop, Author] 1034 - Copyright Flag: False
[Photoshop, Photoshop, Author] 1035 - URL: http://owl.phy.queensu.ca/~phil/exiftool/
[Photoshop, Photoshop, Image] 1054 - URL List: 
[Photoshop, Photoshop, Other] 20 - Slices Group Name: IPTC
[Photoshop, Photoshop, Other] 24 - Num Slices: 1
[Photoshop, Photoshop, Image] 4 - Has Real Merged Data: Yes
[Photoshop, Photoshop, Image] 5 - Writer Name: Adobe Photoshop
[Photoshop, Photoshop, Image] 9 - Reader Name: Adobe Photoshop 7.0
[Photoshop, Photoshop, Image] 0 - Photoshop Quality: 7
[Photoshop, Photoshop, Image] 1 - Photoshop Format: Standard
[Photoshop, Photoshop, Image] 2 - Progressive Scans: 3 Scans
[APP14, Adobe, Image] 0 - DCT Encode Version: 100
[APP14, Adobe, Image] 1 - APP14 Flags 0: (none)
[APP14, Adobe, Image] 2 - APP14 Flags 1: (none)
[APP14, Adobe, Image] 3 - Color Transform: YCbCr
[Composite, Composite, Image] ImageSize - Image Size: 8x8
[Composite, Composite, Image] Megapixels - Megapixels: 0.000064
