[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.25
[File, File, Other] FileType - File Type: JXL
[File, File, Other] FileTypeExtension - File Type Extension: jxl
[File, File, Other] MIMEType - MIME Type: image/jxl
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[File, File, Image] ImageWidth - Image Width: 200
[File, File, Image] ImageHeight - Image Height: 130
[Jpeg2000, Jpeg2000, Video] 0 - Major Brand: JPEG XL Image (.JXL)
[Jpeg2000, Jpeg2000, Video] 1 - Minor Version: 0.0.0
[Jpeg2000, Jpeg2000, Video] 2 - Compatible Brands: jxl 
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Author] 315 - Artist: test artist
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 12.25
[XMP, XMP-dc, Image] subject - Subject: test subject
[Composite, Composite, Image] Exif-ImageSize - Image Size: 200x130
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.026
