[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.68
[File, System, Other] FileName - File Name: XISF.xisf
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 1177 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2023:10:10 10:26:08-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2023:10:10 10:31:33-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2023:10:10 10:26:34-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: XISF
[File, File, Other] FileTypeExtension - File Type Extension: xisf
[File, File, Other] MIMEType - MIME Type: image/x-xisf
[File, File, Image] ImageWidth - Image Width: 256
[File, File, Image] ImageHeight - Image Height: 256
[File, File, Image] NumPlanes - Num Planes: 1
[XML, XML, Image] XML - XML: (Binary data 1161 bytes)
[XML, XML, Image] ImageGeometry - Image Geometry: 256:256:1
[XML, XML, Image] ImageSampleFormat - Image Sample Format: UInt8
[XML, XML, Image] ImageColorSpace - Color Space: Gray
[XML, XML, Image] ImageLocation - Image Location: embedded
[XML, XML, Image] ImageDataCompression - Image Data Compression: zlib:65536
[XML, XML, Image] ImageDataEncoding - Image Data Encoding: base64
[XML, XML, Image] ImageData - Image Data: (Binary data 112 bytes)
[XML, XML, Image] ImageResolutionHorizontal - X Resolution: 72
[XML, XML, Image] ImageResolutionVertical - Y Resolution: 72
[XML, XML, Image] ImageResolutionUnit - Resolution Unit: inch
[XML, XML, Time] CreationTime - Create Date: 2019:09:18 22:57:08Z
[XML, XML, Image] CreatorApplication - Creator Application: PixInsight 01.08.06.1457
[XML, XML, Image] CreatorModule - Creator Module: XISF module version 01.00.09.0187
[XML, XML, Image] CreatorOS - Creator OS: Linux
[XML, XML, Image] CompressionCodecs - Compression Codecs: zlib+sh
[XML, XML, Image] CompressionLevel - Compression Level: 0
[Composite, Composite, Image] Exif-ImageSize - Image Size: 256x256
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.066
