[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.03
[File, System, Other] FileName - File Name: ITC.itc
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 672 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2008:01:12 21:30:37-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:07:29 09:04:09-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2017:12:27 12:00:59-05:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: ITC
[File, File, Other] FileTypeExtension - File Type Extension: itc
[File, File, Other] MIMEType - MIME Type: application/itunes
[ITC, ITC, Image] 16 - Data Type: Artwork
[ITC, ITC, Image] 0 - Library ID: 914A6DE01A279611
[ITC, ITC, Image] 2 - Track ID: 195770115E4BA2B6
[ITC, ITC, Image] 4 - Data Location: Local Music File
[ITC, ITC, Image] 5 - Image Type: PNG
[ITC, ITC, Image] 7 - Image Width: 8
[ITC, ITC, Image] 8 - Image Height: 8
[ITC, ITC, Other] data - Image Data: (Binary data 180 bytes)
[Composite, Composite, Image] Exif-ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000064
