[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.30
[EXIF, IFD0, Camera] 271 - Make: Apple
[EXIF, IFD0, Camera] 272 - Camera Model Name: iPhone 7
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: 10.0.2
[EXIF, IFD0, Time] 306 - Modify Date: 2016:09:28 18:18:05
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/20
[EXIF, ExifIFD, Image] 33437 - F Number: 1.8
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 34855 - ISO: 40
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0221
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2016:09:28 18:18:05
[EXIF, ExifIFD, Time] 36868 - Create Date: 2016:09:28 18:18:05
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37377 - Shutter Speed Value: 1/20
[EXIF, ExifIFD, Image] 37378 - Aperture Value: 1.8
[EXIF, ExifIFD, Image] 37379 - Brightness Value: 2.846551724
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37385 - Flash: Off, Did not fire
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 4.0 mm
[EXIF, ExifIFD, Camera] 37396 - Subject Area: 2015 1511 2217 1330
[EXIF, ExifIFD, Time] 37521 - Sub Sec Time Original: 813
[EXIF, ExifIFD, Time] 37522 - Sub Sec Time Digitized: 813
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: Uncalibrated
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 4032
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 3024
[EXIF, ExifIFD, Camera] 41495 - Sensing Method: One-chip color area
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[EXIF, ExifIFD, Camera] 41986 - Exposure Mode: Auto
[EXIF, ExifIFD, Camera] 41987 - White Balance: Auto
[EXIF, ExifIFD, Camera] 41989 - Focal Length In 35mm Format: 28 mm
[EXIF, ExifIFD, Camera] 41990 - Scene Capture Type: Standard
[EXIF, ExifIFD, Image] 42034 - Lens Info: 3.99mm f/1.8
[EXIF, ExifIFD, Image] 42035 - Lens Make: Apple
[EXIF, ExifIFD, Image] 42036 - Lens Model: iPhone 7 back camera 3.99mm f/1.8
[EXIF, GPS, Location] 1 - GPS Latitude Ref: North
[EXIF, GPS, Location] 2 - GPS Latitude: 53 deg 22' 58.25"
[EXIF, GPS, Location] 3 - GPS Longitude Ref: West
[EXIF, GPS, Location] 4 - GPS Longitude: 1 deg 27' 24.04"
[EXIF, GPS, Location] 5 - GPS Altitude Ref: Above Sea Level
[EXIF, GPS, Location] 6 - GPS Altitude: 72.36649215 m
[EXIF, GPS, Time] 7 - GPS Time Stamp: 17:17:58.65
[EXIF, GPS, Location] 12 - GPS Speed Ref: km/h
[EXIF, GPS, Location] 13 - GPS Speed: 0
[EXIF, GPS, Location] 16 - GPS Img Direction Ref: True North
[EXIF, GPS, Location] 17 - GPS Img Direction: 342.0498753
[EXIF, GPS, Location] 23 - GPS Dest Bearing Ref: True North
[EXIF, GPS, Location] 24 - GPS Dest Bearing: 342.0498753
[EXIF, GPS, Time] 29 - GPS Date Stamp: 2016:09:28
[EXIF, GPS, Location] 31 - GPS Horizontal Positioning Error: 165 m
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 2078
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[MakerNotes, Apple, Image] 1 - Apple 0x0001: 4
[MakerNotes, Apple, Image] 2 - Apple 0x0002: bplist00O..Z.R.†DN:&H<2y-|..ˆ5½.¬iTeœ[...]
[MakerNotes, Apple, Image] flags - Run Time Flags: Valid
[MakerNotes, Apple, Image] value - Run Time Value: 39772089846958
[MakerNotes, Apple, Image] epoch - Run Time Epoch: 0
[MakerNotes, Apple, Image] timescale - Run Time Scale: 1000000000
[MakerNotes, Apple, Image] 4 - Apple 0x0004: 1
[MakerNotes, Apple, Image] 5 - Apple 0x0005: 177
[MakerNotes, Apple, Image] 6 - Apple 0x0006: 185
[MakerNotes, Apple, Image] 7 - Apple 0x0007: 1
[MakerNotes, Apple, Camera] 8 - Acceleration Vector: -0.6483164083 0.002264119004 -0.7500767578
[MakerNotes, Apple, Image] 12 - Apple 0x000c: 0.5390625 0.68359375
[MakerNotes, Apple, Image] 13 - Apple 0x000d: 20
[MakerNotes, Apple, Image] 14 - Apple 0x000e: 0
[MakerNotes, Apple, Image] 15 - Apple 0x000f: 2
[MakerNotes, Apple, Image] 16 - Apple 0x0010: 1
[MakerNotes, Apple, Image] 20 - Apple 0x0014: 5
