[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.30
[File, System, Image] FileName - File Name: Jpeg2000.jp2
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 2028 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2016:10:10 15:46:32-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:10:10 15:46:35-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:10:10 15:46:32-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: JP2
[File, File, Image] FileTypeExtension - File Type Extension: jp2
[File, File, Image] MIMEType - MIME Type: image/jp2
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[Jpeg2000, Jpeg2000, Video] 0 - Major Brand: JPEG 2000 Image (.JP2)
[Jpeg2000, Jpeg2000, Video] 1 - Minor Version: 0.0.0
[Jpeg2000, Jpeg2000, Video] 2 - Compatible Brands: jp2 
[Jpeg2000, Jpeg2000, Image] 0 - Image Height: 16
[Jpeg2000, Jpeg2000, Image] 4 - Image Width: 16
[Jpeg2000, Jpeg2000, Image] 8 - Number Of Components: 3
[Jpeg2000, Jpeg2000, Image] 10 - Bits Per Component: 8 Bits, Unsigned
[Jpeg2000, Jpeg2000, Image] 11 - Compression: JPEG 2000
[Jpeg2000, Jpeg2000, Image] 0 - Color Spec Method: Enumerated
[Jpeg2000, Jpeg2000, Image] 1 - Color Spec Precedence: 0
[Jpeg2000, Jpeg2000, Image] 2 - Color Spec Approximation: Not Specified
[Jpeg2000, Jpeg2000, Image] 3 - Color Space: sRGB
[EXIF, IFD0, Image] 256 - Image Width: 1
[EXIF, IFD0, Image] 257 - Image Height: 1
[EXIF, IFD0, Image] 258 - Bits Per Sample: 8
[EXIF, IFD0, Image] 259 - Compression: Uncompressed
[EXIF, IFD0, Image] 273 - Strip Offsets: 101
[EXIF, IFD0, Image] 277 - Samples Per Pixel: 1
[EXIF, IFD0, Image] 279 - Strip Byte Counts: 0
[EXIF, IFD0, Image] 284 - Planar Configuration: Chunky
[EXIF, IFD0, Image] 33550 - Pixel Scale: 1 1 0
[EXIF, IFD0, Location] 33922 - Model Tie Point: 0 0 0 334159.28 4429865.18 0
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Author] 315 - Artist: me
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[GeoTiff, GeoTiff, Location] 1 - Geo Tiff Version: 1.1.0
[GeoTiff, GeoTiff, Location] 1024 - GT Model Type: Projected
[GeoTiff, GeoTiff, Location] 1025 - GT Raster Type: Pixel Is Area
[GeoTiff, GeoTiff, Location] 1026 - GT Citation: NAD83 / UTM zone 18N
[GeoTiff, GeoTiff, Location] 3072 - Projected CS Type: NAD83 UTM zone 18N
[GeoTiff, GeoTiff, Location] 3076 - Proj Linear Units: Linear Meter
[XMP, XMP, Unknown] :imageCreationXmlns - Image Creation Xmlns: http://www.jpeg.org/jpx/1.0/xml
[XMP, XMP-xsi, Unknown] xsi:imageCreationSchemaLocation - Image Creation Schema Location: http://www.jpeg.org/jpx/1.0/xml;http://www.jpeg.org/metadata/15444-2.xsd
[XMP, XMP, Unknown] :imageCreationGeneralCreationInfoCreationTime - Image Creation General Creation Info Creation Time: 2001:08:01 15:40:00.000-06:00
[XMP, XMP, Unknown] :contentDescriptionXmlns - Content Description Xmlns: http://www.jpeg.org/jpx/1.0/xml
[XMP, XMP-xsi, Unknown] xsi:contentDescriptionSchemaLocation - Content Description Schema Location: http://www.jpeg.org/jpx/1.0/xml;http://www.jpeg.org/metadata/15444-2.xsd
[XMP, XMP, Unknown] :contentDescriptionCaption - Content Description Caption: Wide Dynamic Range Scene
[XMP, XMP, Unknown] :contentDescriptionLocationAddressType - Content Description Location Address Type: Test Scene Location
[XMP, XMP, Unknown] :contentDescriptionLocationAddressAddrCompType - Content Description Location Address Addr Comp Type: Street
[XMP, XMP, Unknown] :contentDescriptionLocationAddressAddrComp - Content Description Location Address Addr Comp: 70 Lighthouse St 
[XMP, XMP, Unknown] :contentDescriptionLocationAddressAddrCompType - Content Description Location Address Addr Comp Type: City
[XMP, XMP, Unknown] :contentDescriptionLocationAddressAddrComp - Content Description Location Address Addr Comp: Charlotte
[XMP, XMP, Unknown] :contentDescriptionLocationAddressAddrCompType - Content Description Location Address Addr Comp Type: State
[XMP, XMP, Unknown] :contentDescriptionLocationAddressAddrComp - Content Description Location Address Addr Comp: New York
[XMP, XMP, Unknown] :contentDescriptionLocationAddressZipcode - Content Description Location Address Zipcode: 14612
[XMP, XMP, Unknown] :contentDescriptionLocationAddressCountry - Content Description Location Address Country: US
[XMP, XMP, Unknown] :contentDescriptionThingId - Content Description Thing Id: 5431
[XMP, XMP, Unknown] :contentDescriptionThingName - Content Description Thing Name: Macbeth chart
[XMP, XMP, Unknown] :contentDescriptionThingPositionRectX - Content Description Thing Position Rect X: 562
[XMP, XMP, Unknown] :contentDescriptionThingPositionRectY - Content Description Thing Position Rect Y: 286
[XMP, XMP, Unknown] :contentDescriptionThingPositionRectWidth - Content Description Thing Position Rect Width: 59
[XMP, XMP, Unknown] :contentDescriptionThingPositionRectHeight - Content Description Thing Position Rect Height: 39
[XMP, XMP, Unknown] :contentDescriptionEventEventType - Content Description Event Event Type: Capture Device Test 1234
[XMP, XMP, Unknown] :contentDescriptionEventDescription - Content Description Event Description: Project Prototype
[Composite, Composite, Image] ImageSize - Image Size: 16x16
[Composite, Composite, Image] Megapixels - Megapixels: 0.000256
