[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 11.00
[File, System, Image] FileName - File Name: WTV.wtv
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 7.5 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2018:06:04 07:51:20-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2018:06:04 07:49:05-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2018:06:04 07:51:20-04:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: WTV
[File, File, Image] FileTypeExtension - File Type Extension: wtv
[File, File, Image] MIMEType - MIME Type: video/x-ms-wtv
[WTV, WTV, Video] WM/MediaClassPrimaryID - Media Class Primary ID: bd3098dbb33aab4f8a371a995f7ff74b
[WTV, WTV, Video] WM/MediaClassSecondaryID - Media Class Secondary ID: 8a257fbaf762a947b21f4651c42a000e
[WTV, WTV, Video] Title - Title: Stargate SG-1
[WTV, WTV, Video] WM/SubTitle - Subtitle: 
[WTV, WTV, Video] WM/SubTitleDescription - Subtitle Description: Company Of Thieves: A power struggle in the deadly Lucian Alliance's ranks spells danger for SG-1. With Carter, Vala and Daniel held captive, Mitchell may be their only hope... (S10, ep 9) [S] 
[WTV, WTV, Video] WM/Genre - Genre: Shows;Other Shows
[WTV, WTV, Time] WM/OriginalReleaseTime - Original Release Time: 0
[WTV, WTV, Video] WM/Language - Language: 
[WTV, WTV, Video] WM/MediaCredits - Media Credits: ;;;
[WTV, WTV, Video] WM/MediaStationCallSign - Media Station Call Sign: Pick
[WTV, WTV, Video] WM/MediaStationName - Media Station Name: Pick
[WTV, WTV, Video] WM/MediaNetworkAffiliation - Media Network Affiliation: Pick
[WTV, WTV, Video] WM/MediaOriginalChannel - Media Original Channel: 11
[WTV, WTV, Video] WM/MediaOriginalChannelSubNumber - Media Original Channel Sub Number: 0
[WTV, WTV, Time] WM/MediaOriginalBroadcastDateTime - Media Original Broadcast Date Time: 0001:01:01 00:00:00Z
[WTV, WTV, Video] WM/MediaOriginalRunTime - Media Original Run Time: 0:18:16
[WTV, WTV, Audio] WM/MediaIsStereo - Media Is Stereo: No
[WTV, WTV, Video] WM/MediaIsRepeat - Media Is Repeat: No
[WTV, WTV, Video] WM/MediaIsLive - Media Is Live: No
[WTV, WTV, Video] WM/MediaIsTape - Media Is Tape: No
[WTV, WTV, Video] WM/MediaIsDelay - Media Is Delay: No
[WTV, WTV, Video] WM/MediaIsSubtitled - Media Is Subtitled: No
[WTV, WTV, Video] WM/MediaIsMovie - Media Is Movie: No
[WTV, WTV, Video] WM/MediaIsPremiere - Media Is Premiere: No
[WTV, WTV, Video] WM/MediaIsFinale - Media Is Finale: No
[WTV, WTV, Video] WM/MediaIsSAP - Media Is SAP: No
[WTV, WTV, Video] WM/MediaIsSport - Media Is Sport: No
[WTV, WTV, Video] WM/ParentalRating - Parental Rating: 
[WTV, WTV, Video] WM/ParentalRatingReason - Parental Rating Reason: 
[WTV, WTV, Video] WM/Provider - Provider: MediaCenterDefault
[WTV, WTV, Video] WM/ProviderCopyright - Provider Copyright: 
[WTV, WTV, Video] WM/ProviderRating - Provider Rating: 
[WTV, WTV, Video] WM/VideoClosedCaptioning - Video Closed Captioning: No
[WTV, WTV, Time] WM/WMRVEncodeTime - Encode Time: 2018:05:25 18:44:43Z
[WTV, WTV, Video] WM/WMRVSeriesUID - Series UID: !GenericSeries!Stargate SG-1
[WTV, WTV, Video] WM/WMRVServiceID - Service ID: !Generated!428e25b3f1244190851ef9311cd5aea0
[WTV, WTV, Video] WM/WMRVProgramID - Program ID: !Loaders!Glid!Programs!9018:20544:22208!6518
[WTV, WTV, Video] WM/WMRVRequestID - Request ID: 0
[WTV, WTV, Video] WM/WMRVScheduleItemID - Schedule Item ID: 0
[WTV, WTV, Video] WM/WMRVQuality - Quality: 3
[WTV, WTV, Video] WM/WMRVOriginalSoftPrePadding - Original Soft Pre Padding: 2794
[WTV, WTV, Video] WM/WMRVOriginalSoftPostPadding - Original Soft Post Padding: 180
[WTV, WTV, Video] WM/WMRVHardPrePadding - Hard Pre Padding: -2674
[WTV, WTV, Video] WM/WMRVHardPostPadding - Hard Post Padding: 0
[WTV, WTV, Video] WM/WMRVBrandingName - Branding Name: 
[WTV, WTV, Video] WM/WMRVBrandingImageID - Branding Image ID: 
[WTV, WTV, Video] WM/WMRVATSCContent - ATSC Content: No
[WTV, WTV, Video] WM/WMRVDTVContent - DTV Content: Yes
[WTV, WTV, Video] WM/WMRVHDContent - HD Content: No
[WTV, WTV, Video] Duration - Duration: 27.38 s
[WTV, WTV, Time] WM/WMRVEndTime - End Time: 2018:05:25 18:45:11Z
[WTV, WTV, Video] WM/WMRVKeepUntil - Keep Until: -1
[WTV, WTV, Video] WM/WMRVActualSoftPrePadding - Actual Soft Pre Padding: -8
[WTV, WTV, Video] WM/WMRVActualSoftPostPadding - Actual Soft Post Padding: -888
[WTV, WTV, Video] WM/WMRVContentProtected - Content Protected: No
[WTV, WTV, Video] WM/WMRVContentProtectedPercent - Content Protected Percent: 0
[WTV, WTV, Video] WM/WMRVInBandRatingSystem - In Band Rating System: 255
[WTV, WTV, Video] WM/WMRVInBandRatingLevel - In Band Rating Level: 255
[WTV, WTV, Video] WM/WMRVInBandRatingAttributes - In Band Rating Attributes: 0
[WTV, WTV, Video] WM/WMRVWatched - Watched: No
[WTV, WTV, Video] WM/MediaThumbWidth - Media Thumb Width: 352
[WTV, WTV, Video] WM/MediaThumbHeight - Media Thumb Height: 372
[WTV, WTV, Video] WM/MediaThumbStride - Media Thumb Stride: 1056
[WTV, WTV, Video] WM/MediaThumbRet - Media Thumb Ret: 0
[WTV, WTV, Video] WM/MediaThumbRatingSystem - Media Thumb Rating System: 255
[WTV, WTV, Video] WM/MediaThumbRatingLevel - Media Thumb Rating Level: 255
[WTV, WTV, Video] WM/MediaThumbRatingAttributes - Media Thumb Rating Attributes: 0
[WTV, WTV, Video] WM/MediaThumbAspectRatioX - Media Thumb Aspect Ratio X: 16
[WTV, WTV, Video] WM/MediaThumbAspectRatioY - Media Thumb Aspect Ratio Y: 9
