[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: Vorbis.ogg
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 5.4 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:11:10 21:57:27-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:53-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: OGG
[File, File, Other] FileTypeExtension - File Type Extension: ogg
[File, File, Other] MIMEType - MIME Type: audio/ogg
[Vorbis, Vorbis, Audio] 0 - Vorbis Version: 0
[Vorbis, Vorbis, Audio] 4 - Audio Channels: 2
[Vorbis, Vorbis, Audio] 5 - Sample Rate: 22050
[Vorbis, Vorbis, Audio] 13 - Nominal Bitrate: 32 kbps
[Vorbis, Vorbis, Audio] vendor - Vendor: AO; aoTuV b4b [20051117] (based on Xiph.Org's libVorbis)
[Vorbis, Vorbis, Audio] COVERARTMIME - Cover Art MIME Type: image/jpeg
[Vorbis, Vorbis, Preview] COVERART - Cover Art: (Binary data 1351 bytes)
[Vorbis, Vorbis, Audio] MEDIAJUKEBOX:TOOL NAME - Mediajukebox Tool Name: Media Center
[Vorbis, Vorbis, Audio] MEDIAJUKEBOX:TOOL VERSION - Mediajukebox Tool Version: 11.1.197
[Vorbis, Vorbis, Audio] GENRE - Genre: Funk
[Vorbis, Vorbis, Audio] MEDIAJUKEBOX:DATE - Mediajukebox Date: 38718
[Vorbis, Vorbis, Time] DATE - Date: 2006
[Vorbis, Vorbis, Audio] TITLE - Title: A 4s sample for testing embedded cover art
[Vorbis, Vorbis, Audio] TRACKNUMBER - Track Number: 1
[Vorbis, Vorbis, Audio] COMMENT - Comment: a nice comment
[Vorbis, Vorbis, Author] ARTIST - Artist: Who Knows
[Vorbis, Vorbis, Audio] ALBUM - Album: The Test Album
[Composite, Composite, Other] Vorbis-Duration - Duration: 1.34 s (approx)
