[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.93
[File, System, Image] FileName - File Name: DV.dv
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 4.3 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2010:12:25 08:53:20-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2015:04:18 07:17:35-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:03:07 15:31:09-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: DV
[File, File, Image] FileTypeExtension - File Type Extension: dv
[File, File, Image] MIMEType - MIME Type: video/x-dv
[DV, DV, Time] DateTimeOriginal - Date Time Original: 2010:02:16 21:36:28
[DV, DV, Video] ImageWidth - Image Width: 720
[DV, DV, Video] ImageHeight - Image Height: 576
[DV, DV, Video] Duration - Duration: 0.00 s
[DV, DV, Video] TotalBitrate - Total Bitrate: 28.8 Mbps
[DV, DV, Video] VideoFormat - Video Format: IEC 61834 - 625/50 (PAL)
[DV, DV, Video] VideoScanType - Video Scan Type: Progressive
[DV, DV, Video] FrameRate - Frame Rate: 25
[DV, DV, Video] AspectRatio - Aspect Ratio: 16:9
[DV, DV, Video] Colorimetry - Colorimetry: 4:2:0
[DV, DV, Audio] AudioChannels - Audio Channels: 4
[DV, DV, Audio] AudioSampleRate - Audio Sample Rate: 32000
[DV, DV, Audio] AudioBitsPerSample - Audio Bits Per Sample: 12
[Composite, Composite, Image] ImageSize - Image Size: 720x576
[Composite, Composite, Image] Megapixels - Megapixels: 0.415
