[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: MXF.mxf
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 7.5 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2010:12:19 19:21:47-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:43-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: MXF
[File, File, Other] FileTypeExtension - File Type Extension: mxf
[File, File, Other] MIMEType - MIME Type: application/mxf
[MXF, MXF, Video] 0 - MXF Version: 1.2
[MXF, MXF, Time] 060e2b34.0101.0102.07020110.02040000 - Container Last Modify Date: 2010:12:20 00:14:40.228
[MXF, MXF, Video] 060e2b34.0101.0102.03010201.05000000 - SDK Version: 1.2
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.02010000 - Application Supplier Name: Phil Harvey
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.03010000 - Application Name: ExifTool
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.05010000 - Application Version String: Based on MXFLib 1.0.1(16)-Release
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.0a000000 - Toolkit Version: 1.0.1.16 released
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.06010000 - Application Platform: MXFLib (darwin on x86_64)
[MXF, MXF, Time] 060e2b34.0101.0102.07020110.02030000 - Modify Date: 2010:12:20 00:14:40.224
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.02010000 - Application Supplier Name: Phil Harvey
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.03010000 - Application Name: ExifTool
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.05010000 - Application Version String: Based on MXFLib 1.0.1(16)-Release
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.0a000000 - Toolkit Version: 1.0.1.16 released
[MXF, MXF, Video] 060e2b34.0101.0102.05200701.06010000 - Application Platform: MXFLib (darwin on x86_64)
[MXF, MXF, Time] 060e2b34.0101.0102.07020110.02030000 - Modify Date: 2010:12:20 00:14:40.228
[MXF, MXF, Time] 060e2b34.0101.0102.07020110.01030000 - Create Date: 2010:12:20 00:14:40.224
[MXF, MXF, Time] 060e2b34.0101.0102.07020110.02050000 - Package Last Modify Date: 2010:12:20 00:14:40.224
[MXF, Track1, Video] 060e2b34.0101.0102.01070102.01000000 - Track Name: Timecode Track
[MXF, Track1, Video] 060e2b34.0101.0102.01040103.00000000 - Track Number: 0
[MXF, Track1, Video] 060e2b34.0101.0102.07020103.01030000 - Origin: 0 s
[MXF, Track1, Video] 060e2b34.0101.0102.05300405.00000000 - Edit Rate: 1
[MXF, Track1, Video] 060e2b34.0101.0102.01070101.00000000 - Track ID: 1
[MXF, Track1, Video] 060e2b34.0101.0102.04070100.00000000 - Component Data Definition: SMPTE 12M Timecode Track
[MXF, Track1, Video] 060e2b34.0101.0102.07020201.01030000 - Duration: 0 s
[MXF, Track1, Video] 060e2b34.0101.0102.04040101.02060000 - Rounded Timecode Timebase: 1
[MXF, Track1, Video] 060e2b34.0101.0101.04040101.05000000 - Drop Frame: False
[MXF, Track1, Video] 060e2b34.0101.0102.07020103.01050000 - Start Timecode: 0 s
[MXF, Track1, Video] 060e2b34.0101.0102.07020201.01030000 - Duration: 0 s
[MXF, Track1, Video] 060e2b34.0101.0102.04070100.00000000 - Component Data Definition: SMPTE 12M Timecode Track
