[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: Ricoh2.jpg
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 3.2 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:09:29 19:47:55-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:51-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Image] 270 - Image Description:                                                                
[EXIF, IFD0, Camera] 271 - Make: RICOH
[EXIF, IFD0, Camera] 272 - Camera Model Name: Caplio Pro G3
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Time] 306 - Modify Date: 2006:05:26 11:48:48
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, IFD0, Author] 33432 - Copyright: (C) by Caplio Pro G3 User
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/1740
[EXIF, ExifIFD, Image] 33437 - F Number: 5.5
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 34855 - ISO: 125
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0220
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2006:05:26 11:48:48
[EXIF, ExifIFD, Time] 36868 - Create Date: 2006:05:26 11:48:48
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37122 - Compressed Bits Per Pixel: 3.2
[EXIF, ExifIFD, Image] 37378 - Aperture Value: 5.7
[EXIF, ExifIFD, Image] 37379 - Brightness Value: 9.6
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: -1
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 2.5
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Spot
[EXIF, ExifIFD, Camera] 37384 - Light Source: Unknown
[EXIF, ExifIFD, Camera] 37385 - Flash: Auto, Did not fire
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 5.7 mm
[EXIF, ExifIFD, Image] 37510 - User Comment: GCM_TAG
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 2048
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 1536
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98 - DCF basic file (sRGB)
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Camera] 41986 - Exposure Mode: Auto
[EXIF, ExifIFD, Camera] 41987 - White Balance: Auto
[EXIF, ExifIFD, Camera] 41990 - Scene Capture Type: Standard
[EXIF, ExifIFD, Camera] 41994 - Sharpness: Hard
[EXIF, GPS, Location] 0 - GPS Version ID: 2.2.0.0
[EXIF, GPS, Location] 1 - GPS Latitude Ref: North
[EXIF, GPS, Location] 2 - GPS Latitude: 42 deg 2' 4.47"
[EXIF, GPS, Location] 3 - GPS Longitude Ref: West
[EXIF, GPS, Location] 4 - GPS Longitude: 0 deg 30' 27.01"
[EXIF, GPS, Location] 5 - GPS Altitude Ref: Above Sea Level
[EXIF, GPS, Location] 6 - GPS Altitude: 117 m
[EXIF, GPS, Time] 7 - GPS Time Stamp: 10:47:24
[EXIF, GPS, Location] 8 - GPS Satellites: 24,23,20,17,13,11,04                           
[EXIF, GPS, Location] 9 - GPS Status: Measurement Active
[EXIF, GPS, Location] 10 - GPS Measure Mode: 3-Dimensional Measurement
[EXIF, GPS, Location] 11 - GPS Dilution Of Precision: 2.6
[EXIF, GPS, Location] 12 - GPS Speed Ref: knots
[EXIF, GPS, Location] 13 - GPS Speed: 0
[EXIF, GPS, Location] 14 - GPS Track Ref: True North
[EXIF, GPS, Location] 15 - GPS Track: 20
[EXIF, GPS, Location] 16 - GPS Img Direction Ref: True North
[EXIF, GPS, Location] 17 - GPS Img Direction: 20
[EXIF, GPS, Location] 18 - GPS Map Datum: WGS-84                         
[EXIF, GPS, Location] 23 - GPS Dest Bearing Ref: Unknown ()
[EXIF, GPS, Location] 24 - GPS Dest Bearing: undef
[EXIF, GPS, Location] 25 - GPS Dest Distance Ref: Unknown ()
[EXIF, GPS, Location] 26 - GPS Dest Distance: undef
[EXIF, GPS, Time] 29 - GPS Date Stamp: 2006:05:26
[EXIF, GPS, Location] 30 - GPS Differential: No Correction
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 2492
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[EXIF, IFD1, Preview] Exif-ThumbnailImage - Thumbnail Image: (Binary data 28 bytes)
[MakerNotes, Ricoh, Camera] 1 - Maker Note Type: Rdc
[MakerNotes, Ricoh, Camera] 2 - Firmware Version: 22.19
[MakerNotes, Ricoh, Camera] 5 - Internal Serial Number: 00000000000000012207000003100957
[MakerNotes, Ricoh, Image] 0 - Ricoh Image Width: 2048
[MakerNotes, Ricoh, Image] 2 - Ricoh Image Height: 1536
[MakerNotes, Ricoh, Time] 6 - Ricoh Date: 2006:05:26 11:48:48
[MakerNotes, Ricoh, Camera] 4099 - Sharpness: Sharp
[MakerNotes, Ricoh, Time] 4 - Manufacture Date 1: 2005:06:06          
[MakerNotes, Ricoh, Time] 5 - Manufacture Date 2: 2003:08:19          
[PrintIM, PrintIM, Printing] PrintIMVersion - PrintIM Version: 0250
[APP5, RMETA, Image] Sign type - Sign Type: Information
[APP5, RMETA, Image] Location - Location: Roundabout
[APP5, RMETA, Image] Lit - Lit: No
[APP5, RMETA, Image] Condition - Condition: Good
[APP5, RMETA, Image] Azimuth - Azimuth: E
[Composite, Composite, Image] Exif-Aperture - Aperture: 5.5
[Composite, Composite, Image] Exif-ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000064
[Composite, Composite, Image] Exif-ShutterSpeed - Shutter Speed: 1/1740
[Composite, Composite, Location] GPS-GPSAltitude - GPS Altitude: 117 m Above Sea Level
[Composite, Composite, Time] GPS-GPSDateTime - GPS Date/Time: 2006:05:26 10:47:24Z
[Composite, Composite, Location] GPS-GPSLatitude - GPS Latitude: 42 deg 2' 4.47" N
[Composite, Composite, Location] GPS-GPSLongitude - GPS Longitude: 0 deg 30' 27.01" W
[Composite, Composite, Location] Exif-GPSPosition - GPS Position: 42 deg 2' 4.47" N, 0 deg 30' 27.01" W
[Composite, Composite, Image] Exif-LightValue - Light Value: 15.4
