[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.93
[File, System, Image] FileName - File Name: LNK.lnk
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 876 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2009:09:19 23:38:35-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2015:04:18 07:17:35-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:03:07 15:31:22-05:00
[File, System, Image] FilePermissions - File Permissions: rwxr-xr-x
[File, File, Image] FileType - File Type: LNK
[File, File, Image] FileTypeExtension - File Type Extension: lnk
[File, File, Image] MIMEType - MIME Type: application/octet-stream
[LNK, LNK, Other] 20 - Flags: IDList, LinkInfo, Description, RelativePath, WorkingDir, CommandArgs, Unicode
[LNK, LNK, Other] 24 - File Attributes: Normal
[LNK, LNK, Time] 28 - Create Date: 2009:09:05 06:18:49-04:00
[LNK, LNK, Time] 36 - Access Date: 2009:09:19 22:42:55-04:00
[LNK, LNK, Time] 44 - Modify Date: 2009:09:11 06:38:00-04:00
[LNK, LNK, Other] 52 - Target File Size: 3988946
[LNK, LNK, Other] 56 - Icon Index: (none)
[LNK, LNK, Other] 60 - Run Window: Normal
[LNK, LNK, Other] 64 - Hot Key: (none)
[LNK, LNK, Other] 14 - Target File DOS Name: EXIFTO~2.EXE
[LNK, LNK, Other] DriveType - Drive Type: Fixed Disk
[LNK, LNK, Other] VolumeLabel - Volume Label: 
[LNK, LNK, Other] LocalBasePath - Local Base Path: C:\Documents and Settings\Phil\Desktop\exiftool(-k).exe
[LNK, LNK, Other] 196612 - Description: Rename file name with image date and time
[LNK, LNK, Other] 196616 - Relative Path: .\exiftool(-k).exe
[LNK, LNK, Other] 196624 - Working Directory: C:\Documents and Settings\Phil\Desktop
[LNK, LNK, Other] 196640 - Command Line Arguments: -d %Y%m%d-%H%M%S.%%e "-filename<datetimeoriginal" -v
[LNK, LNK, Other] 16 - Machine ID: yukkypc
[LNK, LNK, Other] 8 - Fill Attributes: 0x07
[LNK, LNK, Other] 10 - Popup Fill Attributes: 0xf5
[LNK, LNK, Other] 12 - Screen Buffer Size: 80 x 500
[LNK, LNK, Other] 16 - Window Size: 80 x 25
[LNK, LNK, Other] 20 - Window Origin: 135 x 80
[LNK, LNK, Other] 32 - Font Size: 10 x 20
[LNK, LNK, Other] 36 - Font Family: Modern
[LNK, LNK, Other] 40 - Font Weight: 400
[LNK, LNK, Other] 44 - Font Name: 8514oem
[LNK, LNK, Other] 108 - Cursor Size: 25
[LNK, LNK, Other] 112 - Full Screen: No
[LNK, LNK, Other] 116 - Quick Edit: No
[LNK, LNK, Other] 120 - Insert Mode: Yes
[LNK, LNK, Other] 124 - Window Origin Auto: Yes
[LNK, LNK, Other] 128 - History Buffer Size: 50
[LNK, LNK, Other] 132 - Num History Buffers: 4
[LNK, LNK, Other] 136 - Remove History Duplicates: No
