[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.29
[File, System, Other] FileName - File Name: PFM.pfm
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 39 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2021:07:16 08:36:07-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2021:07:16 08:36:08-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:07:16 08:36:07-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: PFM
[File, File, Other] FileTypeExtension - File Type Extension: pfm
[File, File, Other] MIMEType - MIME Type: image/x-pfm
[File, File, Image] ColorSpace - Color Space: RGB
[File, File, Image] ImageWidth - Image Width: 512
[File, File, Image] ImageHeight - Image Height: 768
[File, File, Image] ByteOrder - Byte Order: Little-endian
[Composite, Composite, Image] Exif-ImageSize - Image Size: 512x768
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.393
