[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 13.56
[File, System, Other] FileName - File Name: Garmin.fit
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 3.0 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2026:04:14 12:13:14-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2026:04:14 12:13:21-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2026:04:14 12:14:35-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: FIT
[File, File, Other] FileTypeExtension - File Type Extension: fit
[File, File, Other] MIMEType - MIME Type: application/fit
[Garmin, File, Other] ProtocolVersion - Protocol Version: 16
[Garmin, FileID, Other] 3 - Serial Number: 3499711370
[Garmin, FileID, Time] 4 - Time Created: 2026:04:01 10:00:24-04:00
[Garmin, FileID, Other] 1 - Manufacturer: 1
[Garmin, FileID, Other] 2 - Product: 4536
[Garmin, FileID, Other] 0 - Type: 4
[Garmin, FileCreator, Other] 0 - Software Version: 2139
[Garmin, Activity, Time] 253 - Time Stamp: 2026:04:01 10:00:24-04:00
[Garmin, Activity, Other] 0 - Total Timer Time: 3564.089 s
[Garmin, Activity, Other] 5 - Local Time Stamp: 1143961224
[Garmin, Activity, Other] 1 - Num Sessions: 1
[Garmin, Activity, Other] 2 - Type: 0
[Garmin, Activity, Other] 3 - Event: 26
[Garmin, Activity, Other] 4 - Event Type: 1
[Garmin, Session, Time] 253 - Time Stamp: 2026:04:01 10:00:24-04:00
[Garmin, Session, Time] 2 - GPS Date Time: 2026:04:01 10:00:24-04:00
[Garmin, Session, Location] 3 - GPS Latitude: 32 deg 43' 57.97" N
[Garmin, Session, Location] 4 - GPS Longitude: 117 deg 9' 15.05" W
[Garmin, Session, Other] 7 - Total Elapsed Time: 3564.089 s
[Garmin, Session, Other] 8 - Total Timer Time: 3564.089 s
[Garmin, Session, Other] 9 - Total Distance: 1345.5 m
[Garmin, Session, Other] 10 - Total Cycles: 1174 cycles
[Garmin, Session, Location] 29 - Nec Lat: 32 deg 43' 59.98" N
[Garmin, Session, Location] 30 - Nec Long: 117 deg 9' 7.56" W
[Garmin, Session, Location] 31 - SWC Lat: 32 deg 43' 57.49" N
[Garmin, Session, Location] 32 - SWC Long: 117 deg 9' 15.63" W
[Garmin, Session, Location] 38 - GPS Dest Latitude: 32 deg 43' 58.12" N
[Garmin, Session, Location] 39 - GPS Dest Longitude: 117 deg 9' 14.85" W
[Garmin, Session, Other] 110 - Sport Profile Name: Birding
[Garmin, Session, Other] 116 - Avg Left Power Phase: 255 255 255 255
[Garmin, Session, Other] 117 - Avg Left Power Phase Peak: 255 255 255 255
[Garmin, Session, Other] 118 - Avg Right Power Phase: 255 255 255 255
[Garmin, Session, Other] 119 - Avg Right Power Phase Peak: 255 255 255 255
[Garmin, Session, Other] 120 - Avg Power Position: 65535 65535
[Garmin, Session, Other] 121 - Max Power Position: 65535 65535
[Garmin, Session, Other] 124 - Enhanced Avg Speed: 0.378 m/s
[Garmin, Session, Other] 125 - Enhanced Max Speed: 2.986 m/s
[Garmin, Session, Other] 126 - Enhanced Avg Altitude: 71.6 m
[Garmin, Session, Other] 127 - Enhanced Min Altitude: 53.4 m
[Garmin, Session, Other] 128 - Enhanced Max Altitude: 86.8 m
[Garmin, Session, Other] 152 - Session 152: 0
[Garmin, Session, Other] 168 - Training Load Peak: 3.70919799804688
[Garmin, Session, Unknown] 254 - Message Index: 0
[Garmin, Session, Other] 11 - Total Calories: 233 kcal
[Garmin, Session, Other] 22 - Total Ascent: 29 m
[Garmin, Session, Other] 23 - Total Descent: 34 m
[Garmin, Session, Other] 25 - First Lap Index: 0
[Garmin, Session, Other] 26 - Num Laps: 1
[Garmin, Session, Other] 106 - Session 106: 0
[Garmin, Session, Other] 151 - Session 151: 0
[Garmin, Session, Other] 178 - Session 178: 591
[Garmin, Session, Other] 196 - Metabolic Calories: 87 kcal
[Garmin, Session, Other] 0 - Event: 8
[Garmin, Session, Other] 1 - Event Type: 1
[Garmin, Session, Other] 5 - Sport: 16
[Garmin, Session, Other] 6 - Sub Sport: 0
[Garmin, Session, Other] 16 - Avg Heart Rate: 87 bpm
[Garmin, Session, Other] 17 - Max Heart Rate: 108 bpm
[Garmin, Session, Other] 18 - Avg Cadence: 13 rpm
[Garmin, Session, Other] 19 - Max Cadence: 88 rpm
[Garmin, Session, Other] 24 - Total Training Effect: 0.5
[Garmin, Session, Other] 28 - Trigger: 0
[Garmin, Session, Other] 57 - Avg Temperature: 28 C
[Garmin, Session, Other] 58 - Max Temperature: 29 C
[Garmin, Session, Other] 64 - Min Heart Rate: 66 bpm
[Garmin, Session, Other] 81 - Session 81: 0
[Garmin, Session, Other] 92 - Avg Fractional Cadence: 0.53125 rpm
[Garmin, Session, Other] 93 - Max Fractional Cadence: 0 rpm
[Garmin, Session, Other] 109 - Session 109: 40
[Garmin, Session, Other] 122 - Avg Cadence Position: 255 255
[Garmin, Session, Other] 123 - Max Cadence Position: 255 255
[Garmin, Session, Other] 137 - Total Anaerobic Training Effect: 0
[Garmin, Session, Other] 138 - Session 138: 5 0
[Garmin, Session, Other] 150 - Min Temperature: 27 C
[Garmin, Session, Other] 184 - Session 184: 0
[Garmin, Session, Other] 188 - Session 188: 1
[Garmin, Session, Other] 215 - Session 215: 75
[Garmin, Session, Other] 216 - Session 216: 68
[Garmin, TimeInZone, Time] 253 - Time Stamp: 2026:04:01 10:00:24-04:00
[Garmin, TimeInZone, Time] 2 - Time In HR Zone: 1757921 1747158 59010 0 0 0 0 ms
[Garmin, TimeInZone, Time] 5 - Time In Power Zone: 4294967295 4294967295 4294967295 4294967295 4294967295 4294967295 4294967295 4294967295 ms
[Garmin, TimeInZone, Other] 9 - Power Zone High Boundary: 65535 65535 65535 65535 65535 65535 65535 65535
[Garmin, TimeInZone, Other] 0 - Reference Mesg: 18
[Garmin, TimeInZone, Other] 1 - Reference Index: 0
[Garmin, TimeInZone, Other] 6 - HR Zone High Boundary: 88 105 123 140 158 175
[Garmin, TimeInZone, Other] 10 - HR Calc Type: 1
[Garmin, TimeInZone, Other] 11 - Max Heart Rate: 175
[Garmin, TimeInZone, Other] 12 - Resting Heart Rate: 0
[Garmin, TimeInZone, Other] 13 - Threshold Heart Rate: 0
[Garmin, Lap, Time] 253 - Time Stamp: 2026:04:01 10:00:24-04:00
[Garmin, Lap, Time] 2 - GPS Date Time: 2026:04:01 10:00:24-04:00
[Garmin, Lap, Location] 3 - GPS Latitude: 32 deg 43' 57.97" N
[Garmin, Lap, Location] 4 - GPS Longitude: 117 deg 9' 15.05" W
[Garmin, Lap, Location] 5 - GPS Dest Latitude: 32 deg 43' 58.12" N
[Garmin, Lap, Location] 6 - GPS Dest Longitude: 117 deg 9' 14.85" W
[Garmin, Lap, Other] 7 - Total Elapsed Time: 3564.089 s
[Garmin, Lap, Other] 8 - Total Timer Time: 3564.089 s
[Garmin, Lap, Other] 9 - Total Distance: 1345.5 m
[Garmin, Lap, Other] 10 - Total Cycles: 1174 cycles
[Garmin, Lap, Other] 27 - Lap 27: 390523813
[Garmin, Lap, Other] 28 - Lap 28: -1397679008
[Garmin, Lap, Other] 29 - Lap 29: 390515568
[Garmin, Lap, Other] 30 - Lap 30: -1397705728
[Garmin, Lap, Other] 102 - Avg Left Power Phase: 255 255 255 255
[Garmin, Lap, Other] 103 - Avg Left Power Phase Peak: 255 255 255 255
[Garmin, Lap, Other] 104 - Avg Right Power Phase: 255 255 255 255
[Garmin, Lap, Other] 105 - Avg Right Power Phase Peak: 255 255 255 255
[Garmin, Lap, Other] 106 - Avg Power Position: 65535 65535
[Garmin, Lap, Other] 107 - Max Power Position: 65535 65535
[Garmin, Lap, Other] 110 - Enhanced Avg Speed: 0.378 m/s
[Garmin, Lap, Other] 111 - Enhanced Max Speed: 2.986 m/s
[Garmin, Lap, Other] 113 - Enhanced Min Altitude: 53.4 m
[Garmin, Lap, Other] 114 - Enhanced Max Altitude: 86.8 m
[Garmin, Lap, Unknown] 254 - Message Index: 0
[Garmin, Lap, Other] 11 - Total Calories: 233 kcal
[Garmin, Lap, Other] 21 - Total Ascent: 29 m
[Garmin, Lap, Other] 22 - Total Descent: 34 m
[Garmin, Lap, Other] 145 - Lap 145: 591
[Garmin, Lap, Other] 155 - Lap 155: 87
[Garmin, Lap, Other] 0 - Event: 9
[Garmin, Lap, Other] 1 - Event Type: 1
[Garmin, Lap, Other] 15 - Avg Heart Rate: 87 bpm
[Garmin, Lap, Other] 16 - Max Heart Rate: 108 bpm
[Garmin, Lap, Other] 17 - Avg Cadence: 13 rpm
[Garmin, Lap, Other] 18 - Max Cadence: 88 rpm
[Garmin, Lap, Other] 23 - Intensity: 0
[Garmin, Lap, Other] 24 - Lap Trigger: 7
[Garmin, Lap, Other] 25 - Sport: 16
[Garmin, Lap, Other] 39 - Sub Sport: 0
[Garmin, Lap, Other] 50 - Avg Temperature: 28 C
[Garmin, Lap, Other] 51 - Max Temperature: 29 C
[Garmin, Lap, Other] 80 - Avg Fractional Cadence: 0.53125 rpm
[Garmin, Lap, Other] 81 - Max Fractional Cadence: 0 rpm
[Garmin, Lap, Other] 108 - Avg Cadence Position: 255 255
[Garmin, Lap, Other] 109 - Max Cadence Position: 255 255
[Garmin, Lap, Other] 124 - Min Temperature: 27 C
[Garmin, TimeInZone, Time] 253 - Time Stamp: 2026:04:01 10:00:24-04:00
[Garmin, TimeInZone, Time] 2 - Time In HR Zone: 1757921 1747158 59010 0 0 0 0 ms
[Garmin, TimeInZone, Time] 5 - Time In Power Zone: 4294967295 4294967295 4294967295 4294967295 4294967295 4294967295 4294967295 4294967295 ms
[Garmin, TimeInZone, Other] 9 - Power Zone High Boundary: 65535 65535 65535 65535 65535 65535 65535 65535
[Garmin, TimeInZone, Other] 0 - Reference Mesg: 19
[Garmin, TimeInZone, Other] 1 - Reference Index: 0
[Garmin, TimeInZone, Other] 6 - HR Zone High Boundary: 88 105 123 140 158 175
[Garmin, TimeInZone, Other] 10 - HR Calc Type: 1
[Garmin, TimeInZone, Other] 11 - Max Heart Rate: 175
[Garmin, TimeInZone, Other] 12 - Resting Heart Rate: 0
[Garmin, TimeInZone, Other] 13 - Threshold Heart Rate: 0
[Garmin, TSCorrelation, Time] 253 - Time Stamp: 2026:04:01 10:00:24-04:00
[Garmin, TSCorrelation, Time] 1 - System Time Stamp: 2026:04:01 10:00:24-04:00
[Garmin, TSCorrelation, Time] 3 - Local Time Stamp: 1143961224 s
[Garmin, Event, Time] 253 - Time Stamp: 2026:04:01 10:00:24-04:00
[Garmin, Event, Other] 3 - Data: 0
[Garmin, Event, Other] 0 - Event: 0
