[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.38
[File, System, Image] FileName - File Name: Kodak_3_failed.jpg
[File, System, Image] Directory - Directory: t
[File, System, Image] FileSize - File Size: 3.3 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2016:12:30 10:42:29-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:12:30 10:42:29-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:12:30 10:42:29-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: JPEG
[File, File, Image] FileTypeExtension - File Type Extension: jpg
[File, File, Image] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Camera] 271 - Make: EASTMAN KODAK COMPANY
[EXIF, IFD0, Camera] 272 - Camera Model Name: KODAK DX4900 ZOOM DIGITAL CAMERA
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 230
[EXIF, IFD0, Image] 283 - Y Resolution: 230
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/180
[EXIF, ExifIFD, Image] 33437 - F Number: 6.7
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0210
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2002:05:01 10:22:28
[EXIF, ExifIFD, Time] 36868 - Create Date: 2002:05:01 10:22:28
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37377 - Shutter Speed Value: 1/181
[EXIF, ExifIFD, Image] 37378 - Aperture Value: 6.7
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 3.1
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Average
[EXIF, ExifIFD, Camera] 37384 - Light Source: Unknown
[EXIF, ExifIFD, Camera] 37385 - Flash: No Flash
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 10.2 mm
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 2448
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 1632
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98 - DCF basic file (sRGB)
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Image] 41493 - Exposure Index: 100
[EXIF, ExifIFD, Camera] 41495 - Sensing Method: One-chip color area
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 1664
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[EXIF, IFD1, Preview] ThumbnailImage - Thumbnail Image: (Binary data 28 bytes)
[MakerNotes, Kodak, Camera] 0 - Kodak Model: DX4900  
[MakerNotes, Kodak, Camera] 9 - Quality: Fine
[MakerNotes, Kodak, Camera] 10 - Burst Mode: Off
[MakerNotes, Kodak, Camera] 12 - Kodak Image Width: 2448
[MakerNotes, Kodak, Camera] 14 - Kodak Image Height: 1632
[MakerNotes, Kodak, Time] 16 - Year Created: 2005
[MakerNotes, Kodak, Time] 18 - Month Day Created: 03:31
[MakerNotes, Kodak, Time] 20 - Time Created: 10:22:28.62
[MakerNotes, Kodak, Camera] 24 - Burst Mode 2: 0
[MakerNotes, Kodak, Camera] 27 - Shutter Mode: Auto
[MakerNotes, Kodak, Camera] 28 - Metering Mode: Multi-segment
[MakerNotes, Kodak, Camera] 29 - Sequence Number: 0
[MakerNotes, Kodak, Camera] 30 - F Number: 6.73
[MakerNotes, Kodak, Camera] 32 - Exposure Time: 1/216
[MakerNotes, Kodak, Camera] 36 - Exposure Compensation: 0
[MakerNotes, Kodak, Camera] 38 - Various Modes: 65535
[MakerNotes, Kodak, Camera] 40 - Distance 1: 13125
[MakerNotes, Kodak, Camera] 44 - Distance 2: 13125
[MakerNotes, Kodak, Camera] 48 - Distance 3: 12125
[MakerNotes, Kodak, Camera] 52 - Distance 4: 12250
[MakerNotes, Kodak, Camera] 56 - Focus Mode: Normal
[MakerNotes, Kodak, Camera] 58 - Various Modes 2: 65535
[MakerNotes, Kodak, Camera] 60 - Panorama Mode: 0
[MakerNotes, Kodak, Camera] 62 - Subject Distance: 0
[MakerNotes, Kodak, Camera] 64 - White Balance: Auto
[MakerNotes, Kodak, Camera] 92 - Flash Mode: Auto
[MakerNotes, Kodak, Camera] 93 - Flash Fired: No
[MakerNotes, Kodak, Camera] 94 - ISO Setting: Auto
[MakerNotes, Kodak, Camera] 96 - ISO: 108
[MakerNotes, Kodak, Camera] 98 - Total Zoom: 1.4
[MakerNotes, Kodak, Camera] 100 - Date Time Stamp: Off
[MakerNotes, Kodak, Camera] 102 - Color Mode: Saturated Color
[MakerNotes, Kodak, Camera] 104 - Digital Zoom: 2
[MakerNotes, Kodak, Camera] 107 - Sharpness: Normal
[FlashPix, FlashPix, Other] 1 - Code Page: Unicode UTF-16, little endian
[FlashPix, FlashPix, Other] 268435456 - Used Extension Numbers: 1, 2
[FlashPix, FlashPix, Other] 1 - Extension Name: Screen nail
[FlashPix, FlashPix, Other] 2 - Extension Class ID: 10000230-6FC0-11D0-BD01-00609719A180
