[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 11.75
[File, System, Other] FileName - File Name: PLIST.aae
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 827 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2018:09:07 08:00:15-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2019:10:31 14:56:46-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2019:10:29 08:21:01-04:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: AAE
[File, File, Other] FileTypeExtension - File Type Extension: aae
[File, File, Other] MIMEType - MIME Type: application/vnd.apple.photos
[PLIST, XML, Document] adjustmentBaseVersion - Adjustment Base Version: 0
[PLIST, XML, Document] adjustmentData - Adjustment Data: (Binary data 208 bytes)
[PLIST, XML, Document] adjustmentEditorBundleID - Adjustment Editor Bundle ID: 
[PLIST, XML, Document] adjustmentFormatIdentifier - Adjustment Format Identifier: com.apple.video.slomo
[PLIST, XML, Document] adjustmentFormatVersion - Adjustment Format Version: 1.1
[PLIST, XML, Document] adjustmentRenderTypes - Adjustment Render Types: 0
