[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.38
[File, System, Image] FileName - File Name: DNG.dng
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 13 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:02:26 09:30:53-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:12:29 11:24:51-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:03:07 15:31:02-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: DNG
[File, File, Image] FileTypeExtension - File Type Extension: dng
[File, File, Image] MIMEType - MIME Type: image/x-adobe-dng
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[EXIF, IFD0, Image] 254 - Subfile Type: Reduced-resolution image
[EXIF, IFD0, Image] 256 - Image Width: 8
[EXIF, IFD0, Image] 257 - Image Height: 8
[EXIF, IFD0, Image] 258 - Bits Per Sample: 8 8 8
[EXIF, IFD0, Image] 259 - Compression: Uncompressed
[EXIF, IFD0, Image] 262 - Photometric Interpretation: RGB
[EXIF, IFD0, Camera] 271 - Make: Canon
[EXIF, IFD0, Camera] 272 - Camera Model Name: Canon EOS 350D DIGITAL
[EXIF, IFD0, Image] 273 - Strip Offsets: 13470
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 277 - Samples Per Pixel: 3
[EXIF, IFD0, Image] 278 - Rows Per Strip: 8
[EXIF, IFD0, Image] 279 - Strip Byte Counts: 192
[EXIF, IFD0, Image] 284 - Planar Configuration: Chunky
[EXIF, IFD0, Time] 306 - Modify Date: 2005:08:03 18:59:18
[EXIF, IFD0, Author] 315 - Artist: unknown
[EXIF, SubIFD, Image] 254 - Subfile Type: Full-resolution Image
[EXIF, SubIFD, Image] 256 - Image Width: 3516
[EXIF, SubIFD, Image] 257 - Image Height: 2328
[EXIF, SubIFD, Image] 258 - Bits Per Sample: 16
[EXIF, SubIFD, Image] 259 - Compression: JPEG
[EXIF, SubIFD, Image] 262 - Photometric Interpretation: Color Filter Array
[EXIF, SubIFD, Image] 277 - Samples Per Pixel: 1
[EXIF, SubIFD, Image] 284 - Planar Configuration: Chunky
[EXIF, SubIFD, Image] 322 - Tile Width: 256
[EXIF, SubIFD, Image] 323 - Tile Length: 240
[EXIF, SubIFD, Image] 324 - Tile Offsets: 12494
[EXIF, SubIFD, Image] 325 - Tile Byte Counts: 22
[EXIF, SubIFD, Image] 33421 - CFA Repeat Pattern Dim: 2 2
[EXIF, SubIFD, Image] 33422 - CFA Pattern 2: 0 1 1 2
[EXIF, SubIFD, Image] 50710 - CFA Plane Color: Red,Green,Blue
[EXIF, SubIFD, Image] 50711 - CFA Layout: Rectangular
[EXIF, SubIFD, Image] 50713 - Black Level Repeat Dim: 1 1
[EXIF, SubIFD, Image] 50714 - Black Level: 0
[EXIF, SubIFD, Image] 50717 - White Level: 4095
[EXIF, SubIFD, Image] 50718 - Default Scale: 1 1
[EXIF, SubIFD, Image] 50719 - Default Crop Origin: 10 5
[EXIF, SubIFD, Image] 50720 - Default Crop Size: 3456 2304
[EXIF, SubIFD, Image] 50733 - Bayer Green Split: 0
[EXIF, SubIFD, Image] 50738 - Anti Alias Strength: 1
[EXIF, SubIFD, Image] 50780 - Best Quality Scale: 1
[EXIF, SubIFD, Image] 50829 - Active Area: 14 42 2328 3516
[EXIF, SubIFD, Image] 50830 - Masked Areas: 14 0 2328 40
[EXIF, SubIFD1, Image] 254 - Subfile Type: Reduced-resolution image
[EXIF, SubIFD1, Image] 256 - Image Width: 1024
[EXIF, SubIFD1, Image] 257 - Image Height: 683
[EXIF, SubIFD1, Image] 258 - Bits Per Sample: 8 8 8
[EXIF, SubIFD1, Image] 259 - Compression: JPEG
[EXIF, SubIFD1, Image] 262 - Photometric Interpretation: YCbCr
[EXIF, SubIFD1, Image] 273 - Preview Image Start: 12780
[EXIF, SubIFD1, Image] 277 - Samples Per Pixel: 3
[EXIF, SubIFD1, Image] 278 - Rows Per Strip: 683
[EXIF, SubIFD1, Image] 279 - Preview Image Length: 26
[EXIF, SubIFD1, Image] 284 - Planar Configuration: Chunky
[EXIF, SubIFD1, Image] 529 - Y Cb Cr Coefficients: 0.299 0.587 0.114
[EXIF, SubIFD1, Image] 530 - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, SubIFD1, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, SubIFD1, Image] 532 - Reference Black White: 0 255 128 255 128 255
[EXIF, SubIFD2, Image] 254 - Subfile Type: Reduced-resolution image
[EXIF, SubIFD2, Image] 256 - Image Width: 3456
[EXIF, SubIFD2, Image] 257 - Image Height: 2304
[EXIF, SubIFD2, Image] 258 - Bits Per Sample: 8 8 8
[EXIF, SubIFD2, Image] 259 - Compression: JPEG
[EXIF, SubIFD2, Image] 262 - Photometric Interpretation: YCbCr
[EXIF, SubIFD2, Image] 273 - Jpg From Raw Start: 13070
[EXIF, SubIFD2, Image] 277 - Samples Per Pixel: 3
[EXIF, SubIFD2, Image] 278 - Rows Per Strip: 2304
[EXIF, SubIFD2, Image] 279 - Jpg From Raw Length: 29
[EXIF, SubIFD2, Image] 284 - Planar Configuration: Chunky
[EXIF, SubIFD2, Image] 529 - Y Cb Cr Coefficients: 0.299 0.587 0.114
