[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: Sanyo.jpg
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 2.2 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:01:04 14:02:27-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:51-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Image] 270 - Image Description: SANYO DIGITAL CAMERA
[EXIF, IFD0, Camera] 271 - Make: SANYO Electric Co.,Ltd.
[EXIF, IFD0, Camera] 272 - Camera Model Name: VPC-MZ3
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 72
[EXIF, IFD0, Image] 283 - Y Resolution: 72
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: V612P-75
[EXIF, IFD0, Time] 306 - Modify Date: 2003:10:11 12:43:05
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/185
[EXIF, ExifIFD, Image] 33437 - F Number: 6.9
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 34855 - ISO: 400
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0220
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2003:10:11 12:43:05
[EXIF, ExifIFD, Time] 36868 - Create Date: 2003:10:11 12:43:05
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37122 - Compressed Bits Per Pixel: 2.9
[EXIF, ExifIFD, Image] 37379 - Brightness Value: 0
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 2.8
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-spot
[EXIF, ExifIFD, Camera] 37384 - Light Source: Fine Weather
[EXIF, ExifIFD, Camera] 37385 - Flash: Auto, Did not fire
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 23.1 mm
[EXIF, ExifIFD, Image] 37510 - User Comment: 
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 2000
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 1496
[EXIF, InteropIFD, Image] 1 - Interoperability Index: R98 - DCF basic file (sRGB)
[EXIF, InteropIFD, Image] 2 - Interoperability Version: 0100
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41985 - Custom Rendered: Normal
[EXIF, ExifIFD, Camera] 41986 - Exposure Mode: Auto
[EXIF, ExifIFD, Camera] 41987 - White Balance: Manual
[EXIF, ExifIFD, Camera] 41988 - Digital Zoom Ratio: 0
[EXIF, ExifIFD, Camera] 41989 - Focal Length In 35mm Format: 11113 mm
[EXIF, ExifIFD, Camera] 41990 - Scene Capture Type: Standard
[EXIF, ExifIFD, Camera] 41991 - Gain Control: High gain up
[EXIF, ExifIFD, Camera] 41992 - Contrast: Normal
[EXIF, ExifIFD, Camera] 41993 - Saturation: Normal
[EXIF, ExifIFD, Camera] 41994 - Sharpness: Normal
[EXIF, ExifIFD, Camera] 41996 - Subject Distance Range: Close
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 1888
[EXIF, IFD1, Image] 514 - Thumbnail Length: 28
[EXIF, IFD1, Preview] Exif-ThumbnailImage - Thumbnail Image: (Binary data 28 bytes)
[MakerNotes, Sanyo, Camera] 255 - Maker Note Offset: 1076
[MakerNotes, Sanyo, Camera] 512 - Special Mode: 0 0 0
[MakerNotes, Sanyo, Camera] 513 - Sanyo Quality: Fine/Very High
[MakerNotes, Sanyo, Camera] 514 - Macro: Normal
[MakerNotes, Sanyo, Camera] 516 - Digital Zoom: 0
[MakerNotes, Sanyo, Camera] 526 - Sequential Shot: None
[MakerNotes, Sanyo, Camera] 527 - Wide Range: Off
[MakerNotes, Sanyo, Camera] 528 - Color Adjustment Mode: Off
