[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: Nikon_4_failed.jpg
[File, System, Other] Directory - Directory: t
[File, System, Other] FileSize - File Size: 7.0 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2022:06:01 14:16:44-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:44-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2022:06:01 14:16:44-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Big-endian (Motorola, MM)
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[EXIF, IFD0, Camera] 271 - Make: NIKON CORPORATION
[EXIF, IFD0, Camera] 272 - Camera Model Name: NIKON D70
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 300
[EXIF, IFD0, Image] 283 - Y Resolution: 300
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: Ver.1.02
[EXIF, IFD0, Time] 306 - Modify Date: 2005:01:14 08:57:59
[EXIF, IFD0, Camera] 318 - White Point: 0.313 0.329
[EXIF, IFD0, Image] 319 - Primary Chromaticities: 0.64 0.33 0.21 0.71 0.15 0.06
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Centered
[EXIF, ExifIFD, Image] 33434 - Exposure Time: 1/60
[EXIF, ExifIFD, Image] 33437 - F Number: 5.0
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Aperture-priority AE
[EXIF, ExifIFD, Image] 34855 - ISO: 200
[EXIF, ExifIFD, Image] 36864 - Exif Version: 0221
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2005:01:14 08:57:59
[EXIF, ExifIFD, Time] 36868 - Create Date: 2005:01:14 08:57:59
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: 0
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 4.4
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37384 - Light Source: Unknown
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 56.0 mm
[EXIF, ExifIFD, Image] 37510 - User Comment: curve: fotogenics point and shoot
[EXIF, ExifIFD, Time] 37520 - Sub Sec Time: 20
[EXIF, ExifIFD, Time] 37521 - Sub Sec Time Original: 20
[EXIF, ExifIFD, Time] 37522 - Sub Sec Time Digitized: 20
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 0100
[EXIF, ExifIFD, Image] 40961 - Color Space: Uncalibrated
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 3008
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 2000
[EXIF, ExifIFD, Camera] 41495 - Sensing Method: One-chip color area
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[EXIF, ExifIFD, Image] 41730 - CFA Pattern: [Blue,Green][Green,Red]
[EXIF, ExifIFD, Image] 41985 - Custom Rendered: Custom
[EXIF, ExifIFD, Camera] 41986 - Exposure Mode: Auto
[EXIF, ExifIFD, Camera] 41987 - White Balance: Auto
[EXIF, ExifIFD, Camera] 41988 - Digital Zoom Ratio: 1
[EXIF, ExifIFD, Camera] 41989 - Focal Length In 35mm Format: 84 mm
