[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.08
[File, System, Other] FileName - File Name: MacOS.macos
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 4.0 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2020:10:13 12:07:53-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:10:13 12:12:08-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2020:10:13 12:07:53-04:00
[File, System, Other] FilePermissions - File Permissions: rwxr-xr-x
[File, File, Other] FileType - File Type: MacOS
[File, File, Other] FileTypeExtension - File Type Extension: macos
[File, File, Other] MIMEType - MIME Type: application/unknown
[File, MacOS, Other] com.apple.quarantine - X Attr Quarantine: Flags=0082 set at 2020:10:11 10:09:21 by Preview
[File, MacOS, Time] com.apple.lastuseddate#PS - X Attr Last Used Date: 2020:10:11 10:11:23
[File, MacOS, Other] org.exiftool.metadata:TestTag - X Attr Org Exiftool Metadata Test Tag: this is a test tag
[File, MacOS, Other] com.apple.metadata:kMDItemFinderComment - X Attr MD Item Finder Comment: test comment
