[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.37
[File, System, Image] FileName - File Name: BMP.bmp
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 1142 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2005:11:14 14:47:21-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2016:12:07 08:45:27-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2016:11:24 09:55:16-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: BMP
[File, File, Image] FileTypeExtension - File Type Extension: bmp
[File, File, Image] MIMEType - MIME Type: image/bmp
[File, File, Image] 0 - BMP Version: Windows V3
[File, File, Image] 4 - Image Width: 8
[File, File, Image] 8 - Image Height: 8
[File, File, Image] 12 - Planes: 1
[File, File, Image] 14 - Bit Depth: 8
[File, File, Image] 16 - Compression: None
[File, File, Image] 20 - Image Length: 64
[File, File, Image] 24 - Pixels Per Meter X: 2835
[File, File, Image] 28 - Pixels Per Meter Y: 2835
[File, File, Image] 32 - Num Colors: 256
[File, File, Image] 36 - Num Important Colors: 256
[Composite, Composite, Image] ImageSize - Image Size: 8x8
[Composite, Composite, Image] Megapixels - Megapixels: 0.000064
