[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: PhotoCD.pcd
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 4.1 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2012:05:07 13:11:08-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:47-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: PCD
[File, File, Other] FileTypeExtension - File Type Extension: pcd
[File, File, Other] MIMEType - MIME Type: image/x-photo-cd
[PhotoCD, PhotoCD, Image] 7 - Specification Version: 0.6
[PhotoCD, PhotoCD, Image] 9 - Authoring Software Release: 7.61
[PhotoCD, PhotoCD, Image] 11 - Image Magnification Descriptor: 1.0
[PhotoCD, PhotoCD, Time] 13 - Create Date: 2001:06:27 01:29:36-04:00
[PhotoCD, PhotoCD, Time] 17 - Modify Date: 2001:06:27 01:29:36-04:00
[PhotoCD, PhotoCD, Image] 21 - Image Medium: Color negative
[PhotoCD, PhotoCD, Image] 22 - Product Type: 080/11 SPD 0100
[PhotoCD, PhotoCD, Image] 42 - Scanner Vendor ID: KODAK     /4220
[PhotoCD, PhotoCD, Image] 62 - Scanner Product ID: FilmScanner 2000
[PhotoCD, PhotoCD, Image] 78 - Scanner Firmware Version: 4.17
[PhotoCD, PhotoCD, Image] 82 - Scanner Firmware Date: 
[PhotoCD, PhotoCD, Image] 90 - Scanner Serial Number: 436
[PhotoCD, PhotoCD, Image] 110 - Scanner Pixel Size: 11.48 micrometers
[PhotoCD, PhotoCD, Image] 112 - Image Workstation Make: Eastman Kodak
[PhotoCD, PhotoCD, Image] 132 - Character Set: 95 characters ISO 646
[PhotoCD, PhotoCD, Image] 165 - Photo Finisher Name: Prolab, Inc. 206-547-5447
[PhotoCD, PhotoCD, Image] 228 - Scene Balance Algorithm Revision: 6.7
[PhotoCD, PhotoCD, Image] 230 - Scene Balance Algorithm Command: Neutral SBA On, Color SBA On
[PhotoCD, PhotoCD, Image] 325 - Scene Balance Algorithm Film ID: Kodak Gold 100 Gen 2
[PhotoCD, PhotoCD, Image] 331 - Copyright Status: Not specified
[PhotoCD, PhotoCD, Image] 1538 - Orientation: Rotate 270 CW
[PhotoCD, PhotoCD, Image] 1538.1 - Image Width: 2048
[PhotoCD, PhotoCD, Image] 1538.2 - Image Height: 3072
[PhotoCD, PhotoCD, Image] 1538.3 - Compression Class: Class 1 - 35mm film; Pictoral hard copy
[Composite, Composite, Image] Exif-ImageSize - Image Size: 2048x3072
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 6.3
