[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 10.76
[File, System, Image] FileName - File Name: ASF.wmv
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 12 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2005:12:27 07:29:29-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2018:01:15 08:02:47-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2018:01:12 13:55:30-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: WMV
[File, File, Image] FileTypeExtension - File Type Extension: wmv
[File, File, Image] MIMEType - MIME Type: video/x-ms-wmv
[ASF, ASF, Video] ToolName - Tool Name: Photo Story 3 for Windows
[ASF, ASF, Video] Publisher - Publisher: Photo Story 3 for Windows
[ASF, ASF, Video] ToolVersion - Tool Version: 3.0.1115.0
[ASF, ASF, Video] Genre - Genre: Photo Story
[ASF, ASF, Image] 0 - Picture Type: Front Cover
[ASF, ASF, Image] 1 - Picture MIME Type: image/jpeg
[ASF, ASF, Preview] 3 - Picture: (Binary data 6587 bytes)
[ASF, ASF, Video] IsVBR - Is VBR: True
[ASF, ASF, Video] ASFLeakyBucketPairs - ASF Leaky Bucket Pairs: (Binary data 114 bytes)
[ASF, ASF, Video] 0 - File ID: 5F69B0C4-04F7-4B21-9842-46CCA542D8D3
[ASF, ASF, Video] 16 - File Length: 414891
[ASF, ASF, Time] 24 - Creation Date: 2004:10:28 17:23:34Z
[ASF, ASF, Video] 32 - Data Packets: 287
[ASF, ASF, Video] 40 - Duration: 0:01:39
[ASF, ASF, Video] 48 - Send Duration: 0:01:37
[ASF, ASF, Video] 56 - Preroll: 5000
[ASF, ASF, Video] 64 - Flags: 2
[ASF, ASF, Video] 68 - Min Packet Size: 1400
[ASF, ASF, Video] 72 - Max Packet Size: 1400
[ASF, ASF, Video] 76 - Max Bitrate: 30.6 kbps
[ASF, ASF, Video] MediaClassPrimaryID - Media Class Primary ID: DB9830BD-3AB3-4FAB-8A37-1A995F7FF74B
[ASF, ASF, Video] MediaClassSecondaryID - Media Class Secondary ID: 0B710218-8C0C-475E-AF73-4C41C0C8F8CE
[ASF, ASF, Video] IsVBR - Is VBR: False
[ASF, ASF, Video] IsVBR - Is VBR: False
[ASF, ASF, Video] WMADRCPeakReference - WMADRC Peak Reference: 23311
[ASF, ASF, Video] WMADRCAverageReference - WMADRC Average Reference: 5966
[ASF, ASF, Other] AudioCodecName - Audio Codec Name: Windows Media Audio 9.1
[ASF, ASF, Other] AudioCodecDescription - Audio Codec Description:  20 kbps, 22 kHz, stereo 1-pass CBR
[ASF, ASF, Other] VideoCodecName - Video Codec Name: Windows Media Video 9 Image v2
[ASF, ASF, Other] VideoCodecDescription - Video Codec Description: 
[ASF, ASF, Video] 0 - Stream Type: Audio
[ASF, ASF, Video] 16 - Error Correction Type: Audio Spread
[ASF, ASF, Video] 32 - Time Offset: 0 s
[ASF, ASF, Video] 48 - Stream Number: 1
[ASF, ASF, Video] 54 - Audio Codec ID: Windows Media Audio V2 V7 V8 V9 / DivX audio (WMA) / Alex AC3 Audio
[ASF, ASF, Video] 56 - Audio Channels: 2
[ASF, ASF, Video] 58 - Audio Sample Rate: 22050
[ASF, ASF, Video] 0 - Stream Type: Video
[ASF, ASF, Video] 16 - Error Correction Type: No Error Correction
[ASF, ASF, Video] 32 - Time Offset: 0 s
[ASF, ASF, Video] 48 - Stream Number: 2
[ASF, ASF, Video] 54 - Image Width: 160
[ASF, ASF, Video] 58 - Image Height: 120
[Composite, Composite, Image] ImageSize - Image Size: 160x120
[Composite, Composite, Image] Megapixels - Megapixels: 0.019
