[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.11
[File, System, Other] FileName - File Name: ExifTool.jpg
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 25 KiB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2019:12:04 21:22:58-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:11:26 10:02:27-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2019:12:04 21:22:58-05:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
