[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.07
[File, System, Image] FileName - File Name: InDesign_4_failed.indd
[File, System, Image] Directory - Directory: t
[File, System, Image] FileSize - File Size: 12288
[File, System, Time] FileModifyDate - File Modification Date/Time: 2012:11:20 07:49:42-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2012:11:20 07:49:42-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2012:11:20 07:49:42-05:00
[File, System, Image] FilePermissions - File Permissions: 644
[File, File, Image] FileType - File Type: INDD
[File, File, Image] MIMEType - MIME Type: application/x-indesign
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 9.07
