[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.50
[File, System, Other] FileName - File Name: ICO.ico
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 78 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2022:10:19 15:17:45-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:10:20 11:53:31-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2022:10:19 15:22:45-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: ICO
[File, File, Other] FileTypeExtension - File Type Extension: ico
[File, File, Other] MIMEType - MIME Type: image/x-icon
[File, File, Image] 4 - Image Count: 1
[File, File, Image] 0 - Image Width: 1
[File, File, Image] 1 - Image Height: 1
[File, File, Image] 2 - Num Colors: 2
[File, File, Image] 4 - Color Planes: 1
[File, File, Image] 6 - Bits Per Pixel: 1
[File, File, Image] 8 - Image Length: 56
[Composite, Composite, Image] Exif-ImageSize - Image Size: 1x1
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000001
