[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.57
[File, System, Other] FileName - File Name: MIE_3_failed.mie
[File, System, Other] Directory - Directory: t
[File, System, Other] FileSize - File Size: 6.3 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2023:02:13 20:46:22-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2023:02:13 20:46:22-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2023:02:13 20:46:22-05:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: MIE
[File, File, Other] FileTypeExtension - File Type Extension: mie
[File, File, Other] MIMEType - MIME Type: image/x-mie-jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image] CurrentIPTCDigest - Current IPTC Digest: ff6b1fa510bbe0d2c2323752af38a86b
[MIE, MIE-Main, Other] 0Type - Subfile Type: JPEG
[MIE, MIE-Main, Other] 0Vers - MIE Version: 1.1
[MIE, MIE-Main, Other] 1Name - Subfile Name: dummy.jpg
[MIE, MIE-Main, Other] 2MIME - Subfile MIME Type: image/jpeg
[MIE, MIE-Camera, Camera] ColorTemperature - Color Temperature: 5200
[MIE, MIE-Camera, Camera] Contrast - Contrast: 1
[MIE, MIE-Camera, Camera] ExposureComp - Exposure Compensation: 0
[MIE, MIE-Camera, Camera] ExposureMode - Exposure Mode: Manual
[MIE, MIE-Camera, Camera] ExposureTime - Exposure Time: 4
[MIE, MIE-Flash, Camera] ExposureComp - Flash Exposure Comp: 0
[MIE, MIE-Flash, Camera] GuideNumber - Flash Guide Number: 0
[MIE, MIE-Camera, Camera] FocusMode - Focus Mode: Manual Focus
[MIE, MIE-Camera, Camera] ISO - ISO: 100
[MIE, MIE-Lens, Camera] FNumber - F Number: 11
[MIE, MIE-Lens, Camera] MaxAperture - Max Aperture: 4
[MIE, MIE-Lens, Camera] MinAperture - Min Aperture: 27
[MIE, MIE-Camera, Camera] Make - Make: FUJIFILM
[MIE, MIE-Camera, Camera] Model - Model: FinePix2400Zoom
[MIE, MIE-Orient, Camera] Rotation - Rotation: 90
[MIE, MIE-Camera, Camera] OwnerName - Owner Name: Phil Harvey
[MIE, MIE-Camera, Camera] Saturation - Saturation: 1
[MIE, MIE-Camera, Camera] SerialNumber - Serial Number: 0560012345
[MIE, MIE-Camera, Camera] Sharpness - Sharpness: 1
[MIE, MIE-Camera, Camera] ShootingMode - Shooting Mode: Manual
[MIE, MIE-Doc, Document] Comment - Comment: I can eat glass and it doesn't hurt me.
[MIE, MIE-Doc, Document] Comment-cn_ZH - Comment (cn_ZH): 我能吞下玻璃而不伤身体。
[MIE, MIE-Doc, Document] Comment-de_DE - Comment (de_DE): Ich kann Glas essen, ohne mir weh zu tun.
[MIE, MIE-Doc, Document] Comment-el_GR - Comment (el_GR): Μπορώ να φάω σπασμένα γυαλιά χωρίς να πάθω τίποτα.
[MIE, MIE-Doc, Document] Comment-en_CA - Comment (en_CA): I can eat glass and it doesn't hurt me, eh.
[MIE, MIE-Doc, Document] Comment-en_GB - Comment (en_GB): I say, I can eat glass and it doesn't hurt me old boy.
[MIE, MIE-Doc, Document] Comment-en_US - Comment (en_US): Dude! Munching glass don't bust my chops.
[MIE, MIE-Doc, Document] Comment-es_ES - Comment (es_ES): Puedo comer vidrio, no me hace daño.
[MIE, MIE-Doc, Document] Comment-fr_FR - Comment (fr_FR): Je peux manger du verre, ça ne me fait pas de mal.
[MIE, MIE-Doc, Document] Comment-hi_IN - Comment (hi_IN): मैं काँच खा सकता हूँ, मुझे उस से कोई पीडा नहीं होती.
[MIE, MIE-Doc, Document] Comment-it_IT - Comment (it_IT): Posso mangiare il vetro e non mi fa male.
[MIE, MIE-Doc, Document] Comment-ja_JP - Comment (ja_JP): 私はガラスを食べられます。それは私を傷つけません。
[MIE, MIE-Doc, Document] Comment-ru_RU - Comment (ru_RU): Я могу есть стекло, оно мне не вредит.
[MIE, MIE-Doc, Author] Copyright - Copyright: © Copyright Phil Harvey
[MIE, MIE-Doc, Time] CreateDate - Create Date: 2001:05:19 18:36:41
[MIE, MIE-Doc, Document] Keywords - Keywords: ExifTool, Test, MIE
[MIE, MIE-Doc, Time] ModifyDate - Modify Date: 2004:02:26 09:36:46
[MIE, MIE-Doc, Time] OriginalDate - Date/Time Original: 2001:05:19 18:36:41
[MIE, MIE-Doc, Author] Phone - Phone Number: kühl
[MIE, MIE-Doc, Document] References - References: http://www.columbia.edu/kermit/utf8.html (Comment strings)
[MIE, MIE-Doc, Document] Software - Software: Adobe Photoshop 7.0
[MIE, MIE-Doc, Document] Title - Title: Test IPTC picture
[MIE, MIE-Doc, Document] URL - URL: https://exiftool.org/
[MIE, MIE-Geo, Location] City - City: Kingston
[MIE, MIE-Geo, Location] Country - Country: Canada
[MIE, MIE-GPS, Location] Longitude - GPS Longitude: 1 deg 30' 0.00" W
[MIE, MIE-Geo, Location] State - State: Ont
