[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.56
[File, System, Other] FileName - File Name: OpenEXR.exr
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 395 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2011:12:10 14:34:35-05:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:12:01 13:54:43-05:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2022:09:18 10:49:22-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: EXR
[File, File, Other] FileTypeExtension - File Type Extension: exr
[File, File, Other] MIMEType - MIME Type: image/x-exr
[File, File, Image] ImageWidth - Image Width: 3
[File, File, Image] ImageHeight - Image Height: 2
[OpenEXR, OpenEXR, Image] _ver - EXR Version: 2
[OpenEXR, OpenEXR, Image] _flags - Flags: (none)
[OpenEXR, OpenEXR, Image] channels - Channels: A half 1 1, B half 1 1, G half 1 1, R half 1 1
[OpenEXR, OpenEXR, Image] compression - Compression: PIZ
[OpenEXR, OpenEXR, Image] dataWindow - Data Window: 0 0 2 1
[OpenEXR, OpenEXR, Image] displayWindow - Display Window: 0 0 2 1
[OpenEXR, OpenEXR, Image] lineOrder - Line Order: Increasing Y
[OpenEXR, OpenEXR, Image] pixelAspectRatio - Pixel Aspect Ratio: 1
[OpenEXR, OpenEXR, Image] screenWindowCenter - Screen Window Center: 0 0
[OpenEXR, OpenEXR, Image] screenWindowWidth - Screen Window Width: 1
[Composite, Composite, Image] Exif-ImageSize - Image Size: 3x2
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000006
