[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.03
[File, System, Other] FileName - File Name: FLIR.fpf
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 914 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2013:04:11 15:17:20-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2020:07:29 09:04:05-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2017:12:27 12:00:59-05:00
[File, System, Other] FilePermissions - File Permissions: rw-r--r--
[File, File, Other] FileType - File Type: FPF
[File, File, Other] FileTypeExtension - File Type Extension: fpf
[File, File, Other] MIMEType - MIME Type: image/x-flir-fpf
[FLIR, FLIR, Image] 32 - FPF Version: 2
[FLIR, FLIR, Image] 36 - Image Data Offset: 892
[FLIR, FLIR, Image] 40 - Image Type: Temperature
[FLIR, FLIR, Image] 42 - Image Pixel Format: 4-byte float
[FLIR, FLIR, Image] 44 - Image Width: 160
[FLIR, FLIR, Image] 46 - Image Height: 120
[FLIR, FLIR, Image] 48 - External Trigger Count: 0
[FLIR, FLIR, Image] 52 - Sequence Frame Number: 1
[FLIR, FLIR, Camera] 120 - Camera Model: FLIR E40
[FLIR, FLIR, Camera] 152 - Camera Part Number: 49001-2001
[FLIR, FLIR, Camera] 184 - Camera Serial Number: 49033333
[FLIR, FLIR, Camera] 216 - Camera Temperature Range Min: -20.0 C
[FLIR, FLIR, Camera] 220 - Camera Temperature Range Max: 120.0 C
[FLIR, FLIR, Camera] 224 - Lens Model: FOL18
[FLIR, FLIR, Camera] 256 - Lens Part Number: 
[FLIR, FLIR, Camera] 288 - Lens Serial Number: 
[FLIR, FLIR, Camera] 320 - Filter Model: 
[FLIR, FLIR, Camera] 336 - Filter Part Number: 
[FLIR, FLIR, Camera] 384 - Filter Serial Number: 
[FLIR, FLIR, Image] 480 - Emissivity: 0.95
[FLIR, FLIR, Image] 484 - Object Distance: 1.00 m
[FLIR, FLIR, Image] 488 - Reflected Apparent Temperature: 20.0 C
[FLIR, FLIR, Image] 492 - Atmospheric Temperature: 20.0 C
[FLIR, FLIR, Image] 496 - Relative Humidity: 50.0 %
[FLIR, FLIR, Image] 500 - Computed Atmospheric Trans: 0.99
[FLIR, FLIR, Image] 504 - Estimated Atmospheric Trans: 0.00
[FLIR, FLIR, Image] 508 - Reference Temperature: 20.0 C
[FLIR, FLIR, Camera] 512 - IR Window Temperature: 20.0 C
[FLIR, FLIR, Camera] 516 - IR Window Transmission: 1.00
[FLIR, FLIR, Time] 584 - Date/Time Original: 2013:02:22 11:19:20.891
[FLIR, FLIR, Image] 676 - Camera Scale Min: 267.3
[FLIR, FLIR, Image] 680 - Camera Scale Max: 277.1
[FLIR, FLIR, Image] 684 - Calculated Scale Min: 260.0
[FLIR, FLIR, Image] 688 - Calculated Scale Max: 279.6
[FLIR, FLIR, Image] 692 - Actual Scale Min: 267.3
[FLIR, FLIR, Image] 696 - Actual Scale Max: 277.1
[Composite, Composite, Image] Exif-ImageSize - Image Size: 160x120
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.019
