[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 9.93
[File, System, Image] FileName - File Name: Matroska.mkv
[File, System, Image] Directory - Directory: t/images
[File, System, Image] FileSize - File Size: 507 bytes
[File, System, Time] FileModifyDate - File Modification Date/Time: 2010:05:28 18:24:56-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2015:04:18 07:17:35-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2015:03:07 15:31:22-05:00
[File, System, Image] FilePermissions - File Permissions: rw-r--r--
[File, File, Image] FileType - File Type: MKV
[File, File, Image] FileTypeExtension - File Type Extension: mkv
[File, File, Image] MIMEType - MIME Type: video/x-matroska
[Matroska, Matroska, Video] 642 - Doc Type: matroska
[Matroska, Matroska, Video] 647 - Doc Type Version: 1
[Matroska, Matroska, Video] 645 - Doc Type Read Version: 1
[Matroska, Matroska, Video] 5035 - Seek ID: (Binary data 4 bytes)
[Matroska, Matroska, Video] 5036 - Seek Position: 4099
[Matroska, Matroska, Video] 5035 - Seek ID: (Binary data 4 bytes)
[Matroska, Matroska, Video] 5036 - Seek Position: 4264
[Matroska, Matroska, Video] 5035 - Seek ID: (Binary data 4 bytes)
[Matroska, Matroska, Video] 5036 - Seek Position: 17889670
[Matroska, Matroska, Video] 5035 - Seek ID: (Binary data 4 bytes)
[Matroska, Matroska, Video] 5036 - Seek Position: 17889269
[Matroska, Matroska, Video] 710577 - Timecode Scale: 1 ms
[Matroska, Matroska, Video] 3456 - Muxing App: libebml v0.7.8 + libmatroska v0.8.1
[Matroska, Matroska, Video] 5953 - Writing App: mkvmerge v2.4.0 ('Fumbling Towards Ecstasy') built on Dec  3 2008 16:22:41
[Matroska, Matroska, Video] 1161 - Duration: 0:02:28
[Matroska, Matroska, Time] 1121 - Date/Time Original: 2010:02:03 21:17:48Z
[Matroska, Matroska, Video] 13220 - Segment UID: (Binary data 16 bytes)
[Matroska, Track1, Video] 87 - Track Number: 1
[Matroska, Track1, Video] 13253 - Track UID: 2708023567
[Matroska, Track1, Video] 3 - Track Type: Video
[Matroska, Track1, Video] 57 - Track Used: Yes
[Matroska, Track1, Video] 8 - Track Default: Yes
[Matroska, Track1, Video] 5546 - Track Forced: No
[Matroska, Track1, Video] 28 - Track Lacing: No
[Matroska, Track1, Video] 11751 - Min Cache: 1
[Matroska, Track1, Video] 209231 - Track Timecode Scale: 1
[Matroska, Track1, Video] 5614 - Max Block Addition ID: 0
[Matroska, Track1, Video] 6 - Video Codec ID: V_MPEG4/ISO/AVC
[Matroska, Track1, Video] 42 - Codec Decode All: Yes
[Matroska, Track1, Video] 9122 - Codec Private: (Binary data 41 bytes)
[Matroska, Track1, Video] 254851 - Video Frame Rate: 25
[Matroska, Track1, Video] 177564 - Track Language: und
[Matroska, Track1, Video] 48 - Image Width: 704
[Matroska, Track1, Video] 58 - Image Height: 576
[Matroska, Track1, Video] 26 - Video Scan Type: Progressive
[Matroska, Track1, Video] 5296 - Display Width: 768
[Matroska, Track1, Video] 5306 - Display Height: 576
[Matroska, Track2, Video] 87 - Track Number: 2
[Matroska, Track2, Video] 13253 - Track UID: 3776461812
[Matroska, Track2, Video] 3 - Track Type: Audio
[Matroska, Track2, Video] 57 - Track Used: Yes
[Matroska, Track2, Video] 8 - Track Default: Yes
[Matroska, Track2, Video] 5546 - Track Forced: No
[Matroska, Track2, Video] 28 - Track Lacing: Yes
[Matroska, Track2, Video] 11751 - Min Cache: 0
[Matroska, Track2, Video] 209231 - Track Timecode Scale: 1
[Matroska, Track2, Video] 5614 - Max Block Addition ID: 0
[Matroska, Track2, Video] 6 - Audio Codec ID: A_MPEG/L3
[Matroska, Track2, Video] 42 - Codec Decode All: Yes
[Matroska, Track2, Video] 254851 - Default Duration: 24 ms
[Matroska, Track2, Video] 177564 - Track Language: und
[Matroska, Track2, Audio] 53 - Audio Sample Rate: 48000
[Matroska, Track2, Audio] 31 - Audio Channels: 2
[Composite, Composite, Image] ImageSize - Image Size: 704x576
[Composite, Composite, Image] Megapixels - Megapixels: 0.406
