[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 12.42
[File, System, Other] FileName - File Name: FotoStation.jpg
[File, System, Other] Directory - Directory: t/images
[File, System, Other] FileSize - File Size: 4.3 kB
[File, System, Time] FileModifyDate - File Modification Date/Time: 2006:10:28 14:44:59-04:00
[File, System, Time] FileAccessDate - File Access Date/Time: 2022:06:01 14:16:36-04:00
[File, System, Time] FileInodeChangeDate - File Inode Change Date/Time: 2021:10:31 20:34:50-04:00
[File, System, Other] FilePermissions - File Permissions: -rw-r--r--
[File, File, Other] FileType - File Type: JPEG
[File, File, Other] FileTypeExtension - File Type Extension: jpg
[File, File, Other] MIMEType - MIME Type: image/jpeg
[File, File, Image] ImageWidth - Image Width: 8
[File, File, Image] ImageHeight - Image Height: 8
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:2:0 (2 2)
[FotoStation, FotoStation, Image] 0 - Original Image Width: 1536
[FotoStation, FotoStation, Image] 1 - Original Image Height: 1024
[FotoStation, FotoStation, Image] 2 - Color Planes: 3
[FotoStation, FotoStation, Image] 3 - XY Resolution: 38.626
[FotoStation, FotoStation, Image] 4 - Rotation: 90
[FotoStation, FotoStation, Image] 6 - Crop Left: 18.422%
[FotoStation, FotoStation, Image] 7 - Crop Top: 24.458%
[FotoStation, FotoStation, Image] 8 - Crop Right: 83.035%
[FotoStation, FotoStation, Image] 9 - Crop Bottom: 77.817%
[FotoStation, FotoStation, Image] 11 - Crop Rotation: 0
[IPTC, IPTC2, Other] 0 - Application Record Version: 2
[IPTC, IPTC2, Other] 7 - Edit Status: Edit Status
[IPTC, IPTC2, Other] 10 - Urgency: 1 (most urgent)
[IPTC, IPTC2, Other] 15 - Category: Cat
[IPTC, IPTC2, Other] 120 - Caption-Abstract: Caption *** Local Caption *** Local Caption
[IPTC, IPTC2, Other] 40 - Special Instructions: Special Instructions
[IPTC, IPTC2, Other] 75 - Object Cycle: Unknown (Afternoon)
[IPTC, IPTC2, Other] 103 - Original Transmission Reference: OTR
[IPTC, IPTC2, Image] 200 - Object Preview File Format: Unknown (Custom Field 01)
[IPTC, IPTC2, Image] 201 - Object Preview File Version: Custom Field 02
[IPTC, IPTC2, Preview] 202 - Object Preview Data: (Binary data 15 bytes)
[IPTC, IPTC2, Other] 230 - Document Notes: Document Notes
[Composite, Composite, Image] Exif-ImageSize - Image Size: 8x8
[Composite, Composite, Image] Exif-Megapixels - Megapixels: 0.000064
